words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Pressure,Arne Engels,3949489,Augsburg,Drawn,2,2,First half
Pressure,Arne Engels,3949489,Augsburg,Drawn,2,2,First half
Pressure,Phillip Tietz,3949489,Augsburg,Drawn,2,2,First half
Pressure,Arne Engels,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Miscontrol-Pressure,Dimitris Giannoulis-Niklas Dorsch-Niklas Dorsch-Mads Pedersen,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Niklas Dorsch-Dimitris Giannoulis-Dimitris Giannoulis-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Mads Pedersen-Mads Pedersen-Mads Pedersen-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch,3949489,Augsburg,Drawn,2,2,First half
Ball Receipt-Pass-Ball Receipt-Carry,Phillip Tietz-Phillip Tietz-Niklas Dorsch-Niklas Dorsch,3949489,Augsburg,Drawn,2,2,First half
Ball Receipt-Pass-Ball Receipt-Carry-Pass,Arne Engels-Arne Engels-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis,3949489,Augsburg,Drawn,2,2,First half
Ball Recovery-Carry-Pass,Niklas Dorsch-Niklas Dorsch-Niklas Dorsch,3949489,Augsburg,Drawn,2,2,First half
Pressure,Elvis Rexhbeçaj,3949489,Augsburg,Drawn,2,2,First half
Duel-Pass,Dimitris Giannoulis-Keven Schlotterbeck,3949489,Augsburg,Drawn,2,2,First half
Clearance-Duel,Keven Schlotterbeck-Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Duel,Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Block,Niklas Dorsch,3949489,Augsburg,Drawn,2,2,First half
Ball Receipt-Carry-Miscontrol,Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Jeffrey Gouweleeuw-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch,3949489,Augsburg,Drawn,2,2,First half
Pass-Tactical Shift-Ball Receipt,Mads Pedersen-Unknown-Jeffrey Gouweleeuw,3949489,Augsburg,Drawn,2,2,First half
Dribble,Mads Pedersen,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Carry,Fredrik Jensen-Mads Pedersen-Mads Pedersen,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Carry,Jeffrey Gouweleeuw-Fredrik Jensen-Fredrik Jensen,3949489,Augsburg,Drawn,2,2,First half
Goal Keeper-Substitution-Substitution-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nediljko Labrović-Arne Maier-Tim Breithaupt-Arne Engels-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch-Dimitris Giannoulis-Dimitris Giannoulis-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw,3949489,Augsburg,Drawn,2,2,First half
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Block-Goal Keeper,Arne Engels-Nediljko Labrović,3949489,Augsburg,Drawn,2,2,First half
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Pressure,Phillip Tietz,3949489,Augsburg,Drawn,2,2,First half
