words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Pressure,Arne Engels,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Pressure,Arne Engels,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Pressure,Phillip Tietz,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Pressure,Arne Engels,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Pass-Ball Receipt-Miscontrol-Pressure,Dimitris Giannoulis-Niklas Dorsch-Niklas Dorsch-Mads Pedersen,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Niklas Dorsch-Dimitris Giannoulis-Dimitris Giannoulis-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Mads Pedersen-Mads Pedersen-Mads Pedersen-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Ball Receipt-Pass-Ball Receipt-Carry,Phillip Tietz-Phillip Tietz-Niklas Dorsch-Niklas Dorsch,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Ball Receipt-Pass-Ball Receipt-Carry-Pass,Arne Engels-Arne Engels-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Ball Recovery-Carry-Pass,Niklas Dorsch-Niklas Dorsch-Niklas Dorsch,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Pressure,Elvis Rexhbeçaj,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Duel-Pass,Dimitris Giannoulis-Keven Schlotterbeck,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Clearance-Duel,Keven Schlotterbeck-Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Duel,Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Block,Niklas Dorsch,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Ball Receipt-Carry-Miscontrol,Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Jeffrey Gouweleeuw-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch,3949489,Augsburg,Drawn,2,2,First half,0.6286660788470836,0.9136034536282504
