words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry,Moritz Broschinski-Lukas Daschner-Lukas Daschner,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Lukas Daschner,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Moritz Broschinski,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Philipp Hofmann,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Felix Passlack,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Dribble,Felix Passlack,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Block-Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Matúš Bero-Patrick Drewes-Patrick Drewes-Philipp Hofmann-Philipp Hofmann-Felix Passlack-Felix Passlack,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure-Pressure-Pressure,Ibrahima Sissoko-Ibrahima Sissoko-Matúš Bero,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure-Foul Committed,Felix Passlack-Felix Passlack,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Duel,Felix Passlack,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Felix Passlack,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Lukas Daschner,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Patrick Drewes-Patrick Drewes-Patrick Drewes-Lukas Daschner-Lukas Daschner-Lukas Daschner,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pass,Maximilian Wittek,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Lukas Daschner,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Pass,Patrick Drewes-Moritz Broschinski-Matúš Bero-Matúš Bero-Philipp Hofmann-Philipp Hofmann,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Block-Goal Keeper-Pressure,Felix Passlack-Patrick Drewes-Erhan Mašović,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Dribbled Past-Pressure,Anthony Losilla-Felix Passlack,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Goal Keeper-Clearance,Patrick Drewes-Jakov Medić,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure-Foul Committed,Matúš Bero-Matúš Bero,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Clearance,Maximilian Wittek,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Clearance-Pass-Pressure-Ball Receipt,Anthony Losilla-Felix Passlack-Matúš Bero-Matúš Bero,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Matúš Bero,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pass-Ball Receipt-Carry,Jakov Medić-Anthony Losilla-Anthony Losilla,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Maximilian Wittek,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pass-Pressure,Anthony Losilla-Moritz Broschinski,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Block-50/50,Lukas Daschner-Matúš Bero,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pass-Ball Receipt-Carry,Matúš Bero-Maximilian Wittek-Maximilian Wittek,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pass-Ball Receipt,Maximilian Wittek-Erhan Mašović,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Ball Recovery-Carry-Miscontrol-Error,Matúš Bero-Matúš Bero-Matúš Bero-Matúš Bero,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Ibrahima Sissoko,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Anthony Losilla,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Lukas Daschner,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Clearance,Erhan Mašović,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Anthony Losilla,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Felix Passlack,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Moritz Broschinski-Maximilian Wittek-Maximilian Wittek-Maximilian Wittek-Myron Boadu,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pressure,Maximilian Wittek,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Block-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Maximilian Wittek-Myron Boadu-Erhan Mašović-Erhan Mašović-Erhan Mašović-Jakov Medić-Jakov Medić,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Jakov Medić-Felix Passlack-Felix Passlack-Felix Passlack-Jakov Medić-Jakov Medić-Jakov Medić-Erhan Mašović-Erhan Mašović-Erhan Mašović-Maximilian Wittek-Maximilian Wittek-Maximilian Wittek-Matúš Bero-Matúš Bero-Matúš Bero-Jakov Medić-Jakov Medić-Jakov Medić-Matúš Bero-Matúš Bero-Matúš Bero-Erhan Mašović-Erhan Mašović-Erhan Mašović-Maximilian Wittek-Maximilian Wittek,3949485,Bochum,Lost,0,1,First half,0.750498077776708,0.8229361325852914
