words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass,Lennard Maloney,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Patrick Mainka,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Benedikt Gimber,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Lennard Maloney,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pass,Adrian Beck,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pass-Ball Receipt-Duel,Lennard Maloney-Maximilian Breunig-Maximilian Breunig,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Maximilian Breunig,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pass,Omar Haktab Traorè,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pass-Ball Receipt-Carry,Jan Schöppner-Omar Haktab Traorè-Omar Haktab Traorè,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Duel-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Benedikt Gimber-Benedikt Gimber-Benedikt Gimber-Jonas Föhrenbach-Jonas Föhrenbach-Jonas Föhrenbach-Adrian Beck-Adrian Beck-Adrian Beck-Jan Schöppner-Jan Schöppner,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Benedikt Gimber,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pass,Lennard Maloney,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pass,Jan Schöppner,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pass-Ball Receipt,Omar Haktab Traorè-Jan Schöppner,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Paul Wanner-Paul Wanner-Paul Wanner-Maximilian Breunig-Maximilian Breunig-Maximilian Breunig-Jan Schöppner-Jan Schöppner-Jan Schöppner-Leonardo Weschenfelder-Scienza-Leonardo Weschenfelder-Scienza,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pass,Omar Haktab Traorè,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Omar Haktab Traorè-Omar Haktab Traorè-Omar Haktab Traorè-Patrick Mainka-Patrick Mainka-Patrick Mainka-Benedikt Gimber-Benedikt Gimber-Benedikt Gimber-Jonas Föhrenbach-Jonas Föhrenbach-Jonas Föhrenbach,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Kevin Müller-Benedikt Gimber-Kevin Müller-Kevin Müller-Kevin Müller-Maximilian Breunig,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Jan Schöppner,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Benedikt Gimber,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Adrian Beck,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Dribble,Paul Wanner,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pass-Ball Receipt-Carry,Maximilian Breunig-Paul Wanner-Paul Wanner,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Duel-Ball Recovery-Carry,Adrian Beck-Maximilian Breunig-Maximilian Breunig,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Adrian Beck,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Adrian Beck,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Clearance,Benedikt Gimber,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Dispossessed,Omar Haktab Traorè,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pass-Ball Receipt-Carry,Benedikt Gimber-Omar Haktab Traorè-Omar Haktab Traorè,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Jonas Föhrenbach-Benedikt Gimber-Benedikt Gimber-Benedikt Gimber-Patrick Mainka-Patrick Mainka-Patrick Mainka-Omar Haktab Traorè-Omar Haktab Traorè,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Dribble-Carry,Leonardo Weschenfelder-Scienza-Leonardo Weschenfelder-Scienza,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Shot,Leonardo Weschenfelder-Scienza,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Clearance,Patrick Mainka,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Marvin Pieringer,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Clearance,Benedikt Gimber,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Paul Wanner,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Benedikt Gimber,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Clearance,Lennard Maloney,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Sirlord Calvin Conteh,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Maximilian Breunig,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Dribble,Marvin Pieringer,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pass-Ball Receipt,Jonas Föhrenbach-Marvin Pieringer,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Lennard Maloney,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Marvin Pieringer,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Marvin Pieringer,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure,Sirlord Calvin Conteh,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pass-Ball Receipt-Carry-Pass,Patrick Mainka-Lennard Maloney-Lennard Maloney-Lennard Maloney,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Block,Maximilian Breunig,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Goal Keeper-Substitution-Substitution-Pass-Tactical Shift-Ball Receipt,Kevin Müller-Leonardo Weschenfelder-Scienza-Adrian Beck-Kevin Müller-Unknown-Marvin Pieringer,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Ball Recovery,Benedikt Gimber,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Pressure-Pressure,Leonardo Weschenfelder-Scienza-Leonardo Weschenfelder-Scienza,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Foul Committed,Jan Schöppner,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
Dispossessed,Jan Schöppner,3949491,FC Heidenheim,Won,2,0,First half,1.5439620804974588,0.7108382868773968
