words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Clearance,Marco Komenda,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Pressure,Andu Yobel Kelati,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Pressure,Marko Ivezić,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Pressure,Jann-Fiete Arp,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Timo Becker-Patrick Erras-Patrick Erras-Timo Becker-Timo Becker-Timo Becker-Patrick Erras-Patrick Erras-Patrick Erras-Andu Yobel Kelati-Andu Yobel Kelati-Andu Yobel Kelati-Shuto Machino-Shuto Machino-Shuto Machino-Lewis Harry Holtby-Lewis Harry Holtby-Lewis Harry Holtby-Finn-Dominik Porath-Finn-Dominik Porath-Finn-Dominik Porath-Shuto Machino,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Lewis Harry Holtby-Magnus Knudsen-Magnus Knudsen-Timo Becker-Timo Becker-Timo Becker-Lewis Harry Holtby-Lewis Harry Holtby-Lewis Harry Holtby-Magnus Knudsen-Magnus Knudsen-Magnus Knudsen-Marko Ivezić-Marko Ivezić-Marko Ivezić-Magnus Knudsen-Magnus Knudsen-Magnus Knudsen-Finn-Dominik Porath,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Ball Recovery-Pass-Ball Receipt,Timon Weiner-Timon Weiner-Lewis Harry Holtby,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Shot,Alexander Bernhardsson,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Pass-Ball Receipt-Pass-Ball Receipt,Shuto Machino-Finn-Dominik Porath-Finn-Dominik Porath-Alexander Bernhardsson,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Lewis Harry Holtby-Lewis Harry Holtby-Lewis Harry Holtby-Andu Yobel Kelati-Andu Yobel Kelati-Andu Yobel Kelati-Timo Becker,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Duel,Finn-Dominik Porath,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Ball Recovery,Finn-Dominik Porath,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Pass,Patrick Erras,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
50/50-Pass-Ball Receipt,Alexander Bernhardsson-Shuto Machino-Patrick Erras,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Block,Alexander Bernhardsson,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Pressure,Alexander Bernhardsson,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Pass-Duel,Shuto Machino-Alexander Bernhardsson,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Pass-Ball Receipt-Pass,Andu Yobel Kelati-Lewis Harry Holtby-Lewis Harry Holtby,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Ball Recovery-Carry,Andu Yobel Kelati-Andu Yobel Kelati,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
Pass,Lewis Harry Holtby,3949487,Holstein Kiel,Lost,2,3,First half,1.885038271183429,0.7126256656194976
