words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Ikoma Loïs Openda,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Junior Castello Lukeba-Benjamin Henrichs-Benjamin Henrichs-Benjamin Henrichs-Antonio Nusa-Antonio Nusa-Antonio Nusa-Benjamin Henrichs-Benjamin Henrichs,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
Ball Receipt-Carry,Junior Castello Lukeba-Junior Castello Lukeba,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
Pass,David Raum,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
Ball Receipt-Carry,David Raum-David Raum,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
Duel-Carry-Pass,Kevin Kampl-Kevin Kampl-Kevin Kampl,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
Pressure,Kevin Kampl,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
Shot,Xavi Simons,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
Foul Won-Pass-Ball Receipt-Carry,David Raum-David Raum-Xavi Simons-Xavi Simons,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
Pass-Ball Receipt-Miscontrol-Ball Recovery-Carry,David Raum-Xavi Simons-Xavi Simons-David Raum-David Raum,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
Ball Receipt-Carry-Dispossessed,Xavi Simons-Xavi Simons-Xavi Simons,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Amadou Haïdara-Antonio Nusa-Antonio Nusa-Antonio Nusa-Willi Orban-Willi Orban-Willi Orban-Kevin Kampl-Kevin Kampl-Kevin Kampl-Willi Orban-Willi Orban-Willi Orban-Kevin Kampl-Kevin Kampl-Kevin Kampl-Junior Castello Lukeba-Junior Castello Lukeba-Junior Castello Lukeba-David Raum-David Raum-David Raum,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
Pass-Ball Receipt-Carry,Benjamin Henrichs-Amadou Haïdara-Amadou Haïdara,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
Pressure,Ikoma Loïs Openda,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
Pass-Pressure-Ball Receipt,Willi Orban-Ikoma Loïs Openda-Ikoma Loïs Openda,3949485,RB Leipzig,Won,1,0,First half,1.0845488420727352,0.784292593583754
