words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass,Robert Wagner-Eric Anders Smith-Eric Anders Smith-Eric Anders Smith,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Ball Receipt-Pass,Johannes Eggestein-Johannes Eggestein,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Connor Metcalfe-Connor Metcalfe-Johannes Eggestein-Johannes Eggestein-Johannes Eggestein-Lars Ritzka-Lars Ritzka-Lars Ritzka-Karol Mets-Karol Mets-Karol Mets-Nikola Vasilj-Nikola Vasilj-Nikola Vasilj-Eric Anders Smith-Eric Anders Smith-Eric Anders Smith,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pass-Ball Receipt-Carry-Pass,Karol Mets-Nikola Vasilj-Nikola Vasilj-Nikola Vasilj,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Clearance,Eric Anders Smith,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pass-Ball Receipt-Carry-Pass,Nikola Vasilj-Karol Mets-Karol Mets-Karol Mets,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Karol Mets-Nikola Vasilj-Nikola Vasilj-Hauke Wahl-Hauke Wahl-Hauke Wahl-Nikola Vasilj-Nikola Vasilj,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pressure,Lars Ritzka,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pressure,Connor Metcalfe,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Ball Receipt-Carry-Dispossessed,Johannes Eggestein-Johannes Eggestein-Johannes Eggestein,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pass,Jackson Irvine,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pass,Karol Mets,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Duel,Jackson Irvine,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Block,Lars Ritzka,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Ball Receipt-Carry-Miscontrol,Morgan Guilavogui-Morgan Guilavogui-Morgan Guilavogui,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pressure,Lars Ritzka,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pass,Jackson Irvine,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,Johannes Eggestein-Philipp Treu-Philipp Treu-Philipp Treu-Johannes Eggestein-Johannes Eggestein-Johannes Eggestein-Lars Ritzka-Lars Ritzka,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Johannes Eggestein-Johannes Eggestein-Morgan Guilavogui-Morgan Guilavogui-Morgan Guilavogui-Johannes Eggestein-Johannes Eggestein,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Jackson Irvine-Jackson Irvine-Jackson Irvine-Robert Wagner-Robert Wagner-Robert Wagner-Hauke Wahl-Hauke Wahl-Hauke Wahl-Nikola Vasilj-Nikola Vasilj-Nikola Vasilj,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Duel-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Karol Mets-Karol Mets-Karol Mets-Jackson Irvine-Jackson Irvine-Jackson Irvine-Morgan Guilavogui-Morgan Guilavogui-Morgan Guilavogui,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pressure,Morgan Guilavogui,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pressure,Jackson Irvine,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Ball Receipt-Carry-Dispossessed,Jackson Irvine-Jackson Irvine-Jackson Irvine,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pass,Morgan Guilavogui,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Eric Anders Smith-Karol Mets-Karol Mets-Karol Mets-Nikola Vasilj-Nikola Vasilj-Nikola Vasilj-Eric Anders Smith-Eric Anders Smith-Eric Anders Smith-Karol Mets-Karol Mets-Karol Mets-Nikola Vasilj-Nikola Vasilj-Nikola Vasilj-Morgan Guilavogui-Morgan Guilavogui-Philipp Treu-Philipp Treu-Philipp Treu-Hauke Wahl-Hauke Wahl-Hauke Wahl-Eric Anders Smith-Eric Anders Smith-Eric Anders Smith-Karol Mets-Karol Mets-Karol Mets-Morgan Guilavogui-Morgan Guilavogui,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Duel-Pressure-Pressure,Lars Ritzka-Johannes Eggestein-Jackson Irvine,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pressure,Lars Ritzka,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Hauke Wahl-Nikola Vasilj-Nikola Vasilj-Nikola Vasilj-Karol Mets-Karol Mets-Karol Mets-Eric Anders Smith-Eric Anders Smith-Eric Anders Smith-Johannes Eggestein-Johannes Eggestein,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Interception,Hauke Wahl,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Pressure,Hauke Wahl,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Dribbled Past-Pressure,Hauke Wahl-Philipp Treu,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Goal Keeper-Pass-Pressure,Nikola Vasilj-Nikola Vasilj-Morgan Guilavogui,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
Ball Receipt-Pass,Philipp Treu-Philipp Treu,3949491,St. Pauli,Lost,0,2,First half,1.2959696250479846,0.7739848819851289
