words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Danilho Doekhi,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pressure,Danilho Doekhi,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pass,Diogo Filipe Monteiro Pinto Leite,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pressure,Diogo Filipe Monteiro Pinto Leite,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Ball Receipt-Pass-Ball Receipt-Carry-Miscontrol,Robin Gosens-Robin Gosens-Theoson Jordan Siebatcheu-Theoson Jordan Siebatcheu-Theoson Jordan Siebatcheu,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pass,András Schäfer,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Ball Recovery-Carry,András Schäfer-András Schäfer,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Rani Khedira-Rani Khedira-Rani Khedira-Kevin Vogt-Kevin Vogt-Kevin Vogt-Diogo Filipe Monteiro Pinto Leite-Diogo Filipe Monteiro Pinto Leite-Diogo Filipe Monteiro Pinto Leite-Robin Gosens-Robin Gosens,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pressure,Benedict Hollerbach,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pressure,Christopher Trimmel,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Dribbled Past,Lucas Tousart,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pressure,Lucas Tousart,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Dispossessed,Benedict Hollerbach,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Frederik Rønnow-Danilho Doekhi-Danilho Doekhi-Danilho Doekhi-Lucas Tousart-Lucas Tousart-Lucas Tousart-Benedict Hollerbach-Benedict Hollerbach,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Lucas Tousart-Lucas Tousart-Lucas Tousart-Frederik Rønnow-Frederik Rønnow,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,Frederik Rønnow-Frederik Rønnow-Frederik Rønnow-Christopher Trimmel-Christopher Trimmel-Christopher Trimmel,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pressure,Theoson Jordan Siebatcheu,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pass-Ball Receipt,Danilho Doekhi-Benedict Hollerbach,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Ball Recovery-Carry,Danilho Doekhi-Danilho Doekhi,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pass-Ball Receipt,Robin Gosens-András Schäfer,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pressure,Robin Gosens,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pressure,Benedict Hollerbach,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pass-Ball Receipt-Duel,Frederik Rønnow-Benedict Hollerbach-Benedict Hollerbach,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Danilho Doekhi-Kevin Vogt-Kevin Vogt-Frederik Rønnow-Frederik Rønnow,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Clearance,Danilho Doekhi,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Block,András Schäfer,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pressure,Kevin Vogt,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Duel,Christopher Trimmel,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Duel,Lucas Tousart,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Goal Keeper-Substitution-Pass-Ball Receipt-Carry,Frederik Rønnow-Lucas Tousart-Frederik Rønnow-Robin Gosens-Robin Gosens,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pass-Ball Receipt,Kevin Vogt-András Schäfer,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pass-Ball Receipt-Duel,Robin Gosens-Danilho Doekhi-Theoson Jordan Siebatcheu,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pass-Pressure,Robin Gosens-Robin Gosens,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pressure,András Schäfer,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Dispossessed,Yorbe Vertessen,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pass-Ball Receipt-Carry,Robin Gosens-Yorbe Vertessen-Yorbe Vertessen,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pass,Danilho Doekhi,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Block,Benedict Hollerbach,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pressure-Pressure,Benedict Hollerbach-Benedict Hollerbach,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Dribble,Benedict Hollerbach,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,András Schäfer-Rani Khedira-Rani Khedira-Rani Khedira-Benedict Hollerbach-Benedict Hollerbach,3949484,Union Berlin,Drawn,1,1,First half,1.311151848075368,0.7691689082813125
