words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Miscontrol-Pressure,Cédric Zesiger-Lovro Majer-Lovro Majer-Lovro Majer-Mattias Svanberg,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Pressure,Maximilian Arnold,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Pressure,Mattias Svanberg,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Pressure,Tiago Barreiros de Melo Tomás,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Dribbled Past-Foul Committed,Tiago Barreiros de Melo Tomás-Tiago Barreiros de Melo Tomás,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Duel,Jakub Kamiński,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Goal Keeper,Kamil Grabara,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Pass-Ball Receipt,Cédric Zesiger-Patrick Wimmer,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Pressure,Lovro Majer,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Clearance-Pressure,Sebastiaan Bornauw-Patrick Wimmer,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Pressure,Patrick Wimmer,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Pressure,Lovro Majer,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Pressure,Cédric Zesiger,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Duel-Clearance,Cédric Zesiger-Kilian Fischer,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Dribbled Past,Maximilian Arnold,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Pressure,Ridle Bote Baku,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Duel,Patrick Wimmer,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Ball Receipt,Tiago Barreiros de Melo Tomás,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Pass,Patrick Wimmer,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Goal Keeper,Kamil Grabara,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Pressure,Lovro Majer,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
Dribbled Past-Pressure-Pressure,Lovro Majer-Kilian Fischer-Ridle Bote Baku,3949490,Wolfsburg,Lost,2,3,First half,1.010616814513209,0.7743190565324857
