words,word_players,match_id,team_name
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pressure,Keven Schlotterbeck,3949489,Augsburg
Pressure,Arne Maier,3949489,Augsburg
Pressure,Arne Maier,3949489,Augsburg
Pressure,Arne Engels,3949489,Augsburg
Pass-Ball Receipt-Carry,Keven Schlotterbeck-Nediljko Labrović-Nediljko Labrović,3949489,Augsburg
Pass-Ball Receipt,Nediljko Labrović-Phillip Tietz,3949489,Augsburg
Pass-Ball Receipt,Phillip Tietz-Samuel Emmanuel Essende Mbongu,3949489,Augsburg
50/50,Samuel Emmanuel Essende Mbongu,3949489,Augsburg
50/50-Ball Recovery-Carry,Samuel Emmanuel Essende Mbongu-Phillip Tietz-Phillip Tietz,3949489,Augsburg
Pass,Phillip Tietz,3949489,Augsburg
Pressure,Phillip Tietz,3949489,Augsburg
Foul Committed,Phillip Tietz,3949489,Augsburg
Pressure,Dimitris Giannoulis,3949489,Augsburg
Pressure,Elvis Rexhbeçaj,3949489,Augsburg
Block,Elvis Rexhbeçaj,3949489,Augsburg
Pass,Elvis Rexhbeçaj,3949489,Augsburg
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg
Pressure,Keven Schlotterbeck,3949489,Augsburg
Ball Recovery-Carry-Dribble-Carry,Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt,3949489,Augsburg
Pass,Tim Breithaupt,3949489,Augsburg
Pressure,Arne Maier,3949489,Augsburg
Pressure,Arne Maier,3949489,Augsburg
Pressure,Keven Schlotterbeck,3949489,Augsburg
Pass-Ball Receipt-Carry,Keven Schlotterbeck-Nediljko Labrović-Nediljko Labrović,3949489,Augsburg
Pass-Ball Receipt-Carry-Pass,Nediljko Labrović-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw,3949489,Augsburg
Ball Receipt-Carry-Miscontrol,Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg
