words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Miscontrol,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pressure,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pressure,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Interception,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
50/50-Pass-Ball Receipt-Carry-Pass,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Ball Receipt-Carry,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Duel,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pass-Ball Receipt-Carry,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pass-Ball Receipt,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pressure,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pressure-Pressure,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pressure,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Interception-Carry,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pass,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Ball Receipt-Carry-Miscontrol-Pressure,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Duel-Ball Recovery-Carry,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Foul Won-Pass-Ball Receipt-Carry-Pass,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pressure,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Ball Recovery-Pass-Ball Receipt-Carry,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pass,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Ball Receipt-Carry-Dispossessed,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pressure,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pressure,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pressure,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Dribble-Carry,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pass-Ball Receipt-Carry,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pressure,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pressure,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pressure-Foul Committed,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pressure,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
Pressure,3949581,Augsburg,Lost,0,3,First half,1.9602238343157816,0.675549053385636
