words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Offside,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Block-Pass,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Pass,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Goal Keeper-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Clearance,3949709,Augsburg,Won,1,0,Second half
Clearance,3949709,Augsburg,Won,1,0,Second half
Clearance,3949709,Augsburg,Won,1,0,Second half
Clearance,3949709,Augsburg,Won,1,0,Second half
Block-Goal Keeper,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Block,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Interception-Carry-Pass-Pressure-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Dribble-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry-Dispossessed,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Clearance,3949709,Augsburg,Won,1,0,Second half
Interception-Pressure,3949709,Augsburg,Won,1,0,Second half
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Miscontrol-Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Interception-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry,3949709,Augsburg,Won,1,0,Second half
Dispossessed,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass,3949709,Augsburg,Won,1,0,Second half
Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Block-Pressure,3949709,Augsburg,Won,1,0,Second half
Interception-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure-Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Block-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Duel,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Clearance,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
