words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Alexis Claude Maurice-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Phillip Tietz-Phillip Tietz,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pass,Kristijan Jakić,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Nediljko Labrović-Nediljko Labrović-Nediljko Labrović-Marius Wolf-Marius Wolf-Marius Wolf,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Phillip Tietz,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pass,Keven Schlotterbeck,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Elvis Rexhbeçaj,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Frank Onyeka,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Foul Committed,Frank Onyeka,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Clearance,Marius Wolf,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Frank Onyeka,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pass,Jeffrey Gouweleeuw,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Chrislain Matsima,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Block-Pass-Ball Receipt-Carry,Chrislain Matsima-Kristijan Jakić-Alexis Claude Maurice-Alexis Claude Maurice,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Dribble,Alexis Claude Maurice,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Marius Wolf,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Block,Marius Wolf,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Block-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Chrislain Matsima-Chrislain Matsima-Kristijan Jakić-Kristijan Jakić-Kristijan Jakić-Frank Onyeka-Frank Onyeka,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Dispossessed,Frank Onyeka,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Ball Recovery-Carry-Pass,Chrislain Matsima-Chrislain Matsima-Chrislain Matsima,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Marius Wolf-Marius Wolf-Marius Wolf-Phillip Tietz-Phillip Tietz-Phillip Tietz-Alexis Claude Maurice-Alexis Claude Maurice-Alexis Claude Maurice,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Ball Recovery-Carry,Alexis Claude Maurice-Alexis Claude Maurice,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Dispossessed,Alexis Claude Maurice,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Dimitris Giannoulis,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Alexis Claude Maurice,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Marius Wolf,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Elvis Rexhbeçaj,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Keven Schlotterbeck,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Block,Keven Schlotterbeck,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Duel,Dimitris Giannoulis,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Block-Goal Keeper-Clearance,Dimitris Giannoulis-Nediljko Labrović-Phillip Tietz,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Marius Wolf,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Ball Recovery-Carry-Pass,Chrislain Matsima-Chrislain Matsima-Chrislain Matsima,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Kristijan Jakić,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Chrislain Matsima,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Duel,Chrislain Matsima,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pass,Alexis Claude Maurice,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Ball Receipt-Carry-Dispossessed,Phillip Tietz-Phillip Tietz-Phillip Tietz,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,Phillip Tietz-Marius Wolf-Marius Wolf-Marius Wolf-Alexis Claude Maurice-Alexis Claude Maurice,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Marius Wolf-Kristijan Jakić-Kristijan Jakić-Kristijan Jakić-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Marius Wolf-Marius Wolf-Marius Wolf,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Alexis Claude Maurice,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Kristijan Jakić-Kristijan Jakić-Kristijan Jakić-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kristijan Jakić-Kristijan Jakić-Kristijan Jakić-Elvis Rexhbeçaj-Elvis Rexhbeçaj,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pass-Ball Receipt-Carry-Miscontrol-Pressure,Elvis Rexhbeçaj-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Duel,Dimitris Giannoulis,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Phillip Tietz,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Duel-Pressure,Phillip Tietz-Phillip Tietz,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Foul Committed,Phillip Tietz,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pass-Ball Receipt-Pass,Jeffrey Gouweleeuw-Kristijan Jakić-Kristijan Jakić,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Marius Wolf,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Phillip Tietz,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pass,Dimitris Giannoulis,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Ball Receipt,Phillip Tietz,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pass-Ball Receipt,Marius Wolf-Frank Onyeka,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure-Pressure,Frank Onyeka-Frank Onyeka,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure-Pressure-Pressure,Chrislain Matsima-Kristijan Jakić-Jeffrey Gouweleeuw,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Duel-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Jeffrey Gouweleeuw-Chrislain Matsima-Marius Wolf-Marius Wolf-Marius Wolf-Phillip Tietz-Phillip Tietz,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Alexis Claude Maurice,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Marius Wolf,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Elvis Rexhbeçaj,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Block,Elvis Rexhbeçaj,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pass,Dimitris Giannoulis,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Alexis Claude Maurice,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Pressure,Dimitris Giannoulis,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
Clearance,Jeffrey Gouweleeuw,3949559,Augsburg,Drawn,1,1,First half,1.0884067124021883,0.7905427588013391
