words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Patrik Schick,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Duel,Nathan Tella,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Foul Won-Pass-Ball Receipt,Exequiel Alejandro Palacios-Jonathan Tah-Edmond Fayçal Tapsoba,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Edmond Fayçal Tapsoba-Aleix García Serrano-Aleix García Serrano-Aleix García Serrano-Nathan Tella,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Duel,Nathan Tella,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass,Piero Martín Hincapié Reyna,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pressure,Aleix García Serrano,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Block-Ball Recovery-Carry,Jonathan Tah-Edmond Fayçal Tapsoba-Edmond Fayçal Tapsoba,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass,Edmond Fayçal Tapsoba,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass-Ball Receipt,Edmond Fayçal Tapsoba-Patrik Schick,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass-Ball Receipt-Pass,Edmond Fayçal Tapsoba-Aleix García Serrano-Aleix García Serrano,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Ball Receipt-Pass-Ball Receipt,Edmond Fayçal Tapsoba-Edmond Fayçal Tapsoba-Patrik Schick,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass,Jonathan Tah,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Ball Receipt-Duel,Florian Wirtz-Florian Wirtz,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Ball Recovery-Carry,Aleix García Serrano-Aleix García Serrano,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass-Ball Receipt-Pass,Aleix García Serrano-Piero Martín Hincapié Reyna-Piero Martín Hincapié Reyna,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Ball Receipt-Carry-Pass-Ball Receipt-Pass,Lukáš Hrádecký-Lukáš Hrádecký-Lukáš Hrádecký-Patrik Schick-Patrik Schick,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pressure-Ball Receipt,Florian Wirtz-Florian Wirtz,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass,Alejandro Grimaldo García,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Block-Clearance,Piero Martín Hincapié Reyna-Jonathan Tah,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pressure,Piero Martín Hincapié Reyna,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Goal Keeper-Pass-Ball Receipt-Miscontrol,Lukáš Hrádecký-Lukáš Hrádecký-Patrik Schick-Patrik Schick,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pressure,Aleix García Serrano,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Clearance-Pressure,Jonathan Tah-Jonathan Tah,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Block-Goal Keeper,Jonathan Tah-Lukáš Hrádecký,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pressure,Alejandro Grimaldo García,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Block-Goal Keeper,Piero Martín Hincapié Reyna-Lukáš Hrádecký,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Clearance,Patrik Schick,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Clearance,Florian Wirtz,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass-Foul Committed,Lukáš Hrádecký-Patrik Schick,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Ball Recovery-Carry-Pass-Ball Receipt,Lukáš Hrádecký-Lukáš Hrádecký-Lukáš Hrádecký-Patrik Schick,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass-Ball Receipt-Carry-Pass,Alejandro Grimaldo García-Patrik Schick-Patrik Schick-Patrik Schick,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Ball Receipt-Carry-Pass,Alejandro Grimaldo García-Alejandro Grimaldo García-Alejandro Grimaldo García,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Piero Martín Hincapié Reyna-Piero Martín Hincapié Reyna-Piero Martín Hincapié Reyna-Lukáš Hrádecký-Lukáš Hrádecký,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass-Pressure,Lukáš Hrádecký-Piero Martín Hincapié Reyna,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Ball Receipt,Piero Martín Hincapié Reyna,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Goal Keeper,Lukáš Hrádecký,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Goal Keeper-Pass,Lukáš Hrádecký-Lukáš Hrádecký,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pressure,Jonas Hofmann,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pressure,Jonas Hofmann,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass,Exequiel Alejandro Palacios,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Ball Recovery-Carry-Pass,Aleix García Serrano-Aleix García Serrano-Aleix García Serrano,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Ball Receipt-Carry-Pass,Piero Martín Hincapié Reyna-Piero Martín Hincapié Reyna-Piero Martín Hincapié Reyna,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pressure,Patrik Schick,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Clearance,Nathan Tella,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pressure-Pressure,Jonathan Tah-Edmond Fayçal Tapsoba,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Interception-Carry,Florian Wirtz-Florian Wirtz,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Dribble-Carry,Florian Wirtz-Florian Wirtz,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Dispossessed,Florian Wirtz,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pressure,Exequiel Alejandro Palacios,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass-Ball Receipt,Jonathan Tah-Piero Martín Hincapié Reyna,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Piero Martín Hincapié Reyna-Lukáš Hrádecký-Lukáš Hrádecký-Lukáš Hrádecký-Nathan Tella,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pressure,Nathan Tella,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Duel-Ball Recovery-Carry,Nathan Tella-Alejandro Grimaldo García-Alejandro Grimaldo García,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
Pass,Alejandro Grimaldo García,3949781,Bayer Leverkusen,Drawn,2,2,Second half,1.6273321822353373,0.732287254491684
