words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry,Jamal Musiala-Manuel Neuer-Manuel Neuer,3949504,Bayern Munich,Won,6,1,First half,1.442835018698355,0.7816676560293587
Pass,Manuel Neuer,3949504,Bayern Munich,Won,6,1,First half,1.442835018698355,0.7816676560293587
Pass,Min Jae Kim,3949504,Bayern Munich,Won,6,1,First half,1.442835018698355,0.7816676560293587
Pass,Harry Kane,3949504,Bayern Munich,Won,6,1,First half,1.442835018698355,0.7816676560293587
Ball Receipt-Shot,Jamal Musiala-Jamal Musiala,3949504,Bayern Munich,Won,6,1,First half,1.442835018698355,0.7816676560293587
Pressure,Serge Gnabry,3949504,Bayern Munich,Won,6,1,First half,1.442835018698355,0.7816676560293587
Duel-Carry,Dayotchanculle Upamecano-Dayotchanculle Upamecano,3949504,Bayern Munich,Won,6,1,First half,1.442835018698355,0.7816676560293587
Pass-Ball Receipt,Dayotchanculle Upamecano-Sacha Boey,3949504,Bayern Munich,Won,6,1,First half,1.442835018698355,0.7816676560293587
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Sacha Boey-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Min Jae Kim-Min Jae Kim-Min Jae Kim-Raphaël Adelino José Guerreiro-Raphaël Adelino José Guerreiro,3949504,Bayern Munich,Won,6,1,First half,1.442835018698355,0.7816676560293587
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Raphaël Adelino José Guerreiro-Kingsley Coman-Kingsley Coman-Kingsley Coman-Min Jae Kim-Min Jae Kim-Min Jae Kim-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Dayotchanculle Upamecano-Joshua Kimmich-Joshua Kimmich-Joshua Kimmich-Manuel Neuer-Manuel Neuer-Manuel Neuer-Min Jae Kim-Min Jae Kim-Min Jae Kim,3949504,Bayern Munich,Won,6,1,First half,1.442835018698355,0.7816676560293587
Ball Receipt-Carry,Kingsley Coman-Kingsley Coman,3949504,Bayern Munich,Won,6,1,First half,1.442835018698355,0.7816676560293587
Dispossessed,Kingsley Coman,3949504,Bayern Munich,Won,6,1,First half,1.442835018698355,0.7816676560293587
Block,Kingsley Coman,3949504,Bayern Munich,Won,6,1,First half,1.442835018698355,0.7816676560293587
Clearance,Kingsley Coman,3949504,Bayern Munich,Won,6,1,First half,1.442835018698355,0.7816676560293587
