words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Julian Brandt-Nico Schlotterbeck-Nico Schlotterbeck-Nico Schlotterbeck-Julien Duranville-Julien Duranville,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Julien Duranville-Emre Can-Emre Can-Emre Can-Gregor Kobel-Gregor Kobel-Gregor Kobel-Nico Schlotterbeck-Nico Schlotterbeck-Nico Schlotterbeck-Emre Can-Emre Can-Emre Can-Nico Schlotterbeck-Nico Schlotterbeck-Emre Can-Emre Can-Emre Can-Nico Schlotterbeck-Nico Schlotterbeck-Nico Schlotterbeck,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Ramy Bensebaini-Ramy Bensebaini-Ramy Bensebaini-Emre Can-Emre Can-Emre Can-Julian Ryerson-Julian Ryerson-Julian Ryerson,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Ball Receipt-Pass-Ball Receipt-Injury Stoppage,Felix Kalu Nmecha-Felix Kalu Nmecha-Julian Ryerson-Gregor Kobel,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Referee Ball-Drop-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Unknown-Marcel Sabitzer-Emre Can-Emre Can-Emre Can-Nico Schlotterbeck-Nico Schlotterbeck-Nico Schlotterbeck-Emre Can-Emre Can-Emre Can-Nico Schlotterbeck-Nico Schlotterbeck,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nico Schlotterbeck-Emre Can-Emre Can-Emre Can-Nico Schlotterbeck-Nico Schlotterbeck,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Nico Schlotterbeck-Julian Brandt-Julian Brandt-Felix Kalu Nmecha-Felix Kalu Nmecha,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Felix Kalu Nmecha-Emre Can-Emre Can-Julian Ryerson-Julian Ryerson-Julian Ryerson-Julien Duranville-Julien Duranville,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Julien Duranville-Julian Ryerson-Julian Ryerson-Julian Ryerson-Emre Can-Emre Can-Emre Can-Nico Schlotterbeck-Nico Schlotterbeck,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Pass-Ball Receipt-Pass,Nico Schlotterbeck-Ramy Bensebaini-Ramy Bensebaini,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Pass,Ramy Bensebaini,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Nico Schlotterbeck-Nico Schlotterbeck-Emre Can-Emre Can-Emre Can-Felix Kalu Nmecha-Felix Kalu Nmecha-Nico Schlotterbeck-Nico Schlotterbeck-Nico Schlotterbeck-Felix Kalu Nmecha-Felix Kalu Nmecha-Felix Kalu Nmecha-Marcel Sabitzer-Marcel Sabitzer-Marcel Sabitzer-Julian Ryerson-Julian Ryerson-Julian Ryerson-Julien Duranville-Julien Duranville-Julien Duranville,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Ball Receipt-Carry-Pass,Serhou Guirassy-Serhou Guirassy-Serhou Guirassy,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Julian Ryerson-Julian Ryerson-Julian Ryerson-Julien Duranville-Julien Duranville-Julien Duranville-Emre Can-Emre Can-Emre Can-Nico Schlotterbeck-Nico Schlotterbeck-Nico Schlotterbeck-Julian Ryerson-Julian Ryerson,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Pass-Ball Receipt-Carry-Pass,Julian Ryerson-Emre Can-Emre Can-Emre Can,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Marcel Sabitzer-Marcel Sabitzer-Marcel Sabitzer-Julien Duranville-Julien Duranville,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
Pass,Julien Duranville,3949633,Borussia Dortmund,Lost,2,4,First half,1.8717091873160583,0.7111261020302309
