words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry,Adrian Beck-Benedikt Gimber-Benedikt Gimber,3949664,FC Heidenheim,Lost,0,1,Second half,1.0948115020828078,0.8049231746896376
Pass-Ball Receipt-Duel,Benedikt Gimber-Budu Zivzivadze-Budu Zivzivadze,3949664,FC Heidenheim,Lost,0,1,Second half,1.0948115020828078,0.8049231746896376
Ball Recovery-Carry-Pass,Omar Haktab Traorè-Omar Haktab Traorè-Omar Haktab Traorè,3949664,FC Heidenheim,Lost,0,1,Second half,1.0948115020828078,0.8049231746896376
Ball Recovery-Carry,Omar Haktab Traorè-Omar Haktab Traorè,3949664,FC Heidenheim,Lost,0,1,Second half,1.0948115020828078,0.8049231746896376
Pass-Ball Receipt-Pass-Pressure-Ball Receipt,Omar Haktab Traorè-Adrian Beck-Adrian Beck-Budu Zivzivadze-Budu Zivzivadze,3949664,FC Heidenheim,Lost,0,1,Second half,1.0948115020828078,0.8049231746896376
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Patrick Mainka-Patrick Mainka-Patrick Mainka-Jan Schöppner-Jan Schöppner-Benedikt Gimber-Benedikt Gimber-Benedikt Gimber-Jonas Föhrenbach-Jonas Föhrenbach-Jonas Föhrenbach-Kevin Müller-Kevin Müller,3949664,FC Heidenheim,Lost,0,1,Second half,1.0948115020828078,0.8049231746896376
Pass-Ball Receipt-Carry,Kevin Müller-Patrick Mainka-Patrick Mainka,3949664,FC Heidenheim,Lost,0,1,Second half,1.0948115020828078,0.8049231746896376
Pass,Patrick Mainka,3949664,FC Heidenheim,Lost,0,1,Second half,1.0948115020828078,0.8049231746896376
Pass-Ball Receipt-Duel,Omar Haktab Traorè-Budu Zivzivadze-Budu Zivzivadze,3949664,FC Heidenheim,Lost,0,1,Second half,1.0948115020828078,0.8049231746896376
Block,Budu Zivzivadze,3949664,FC Heidenheim,Lost,0,1,Second half,1.0948115020828078,0.8049231746896376
Pressure,Mathias Honsak,3949664,FC Heidenheim,Lost,0,1,Second half,1.0948115020828078,0.8049231746896376
Pass-Ball Receipt,Jan Schöppner-Mathias Honsak,3949664,FC Heidenheim,Lost,0,1,Second half,1.0948115020828078,0.8049231746896376
Pressure,Frans Krätzig,3949664,FC Heidenheim,Lost,0,1,Second half,1.0948115020828078,0.8049231746896376
