words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Lucas Höler,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pressure,Ritsu Doan,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Clearance-Pressure,Christian Günter-Christian Günter,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Clearance,Ritsu Doan,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Block-Goal Keeper,Lucas Höler-Noah Atubolu,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Clearance,Lucas Höler,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Clearance,Philipp Lienhart,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Goal Keeper-Pass-Pressure,Noah Atubolu-Noah Atubolu-Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt,Philipp Lienhart-Vincenzo Grifo,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pressure,Maximilian Eggestein,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Foul Committed,Maximilian Eggestein,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Noah Atubolu-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Noah Atubolu-Noah Atubolu,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry,Noah Atubolu-Philipp Lienhart-Philipp Lienhart,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass,Philipp Lienhart,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Ball Receipt-Carry-Pass-Duel,Lucas Höler-Lucas Höler-Lucas Höler-Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass,Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Vincenzo Grifo-Vincenzo Grifo-Vincenzo Grifo-Christian Günter-Christian Günter-Christian Günter,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Ball Receipt-Carry,Merlin Röhl-Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Dribble-Carry,Merlin Röhl-Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry,Merlin Röhl-Vincenzo Grifo-Vincenzo Grifo,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass,Vincenzo Grifo,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass,Vincenzo Grifo,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Duel,Christian Günter-Matthias Ginter-Matthias Ginter,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Ball Recovery-Shot,Kiliann Sildillia-Kiliann Sildillia,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Lucas Höler-Maximilian Eggestein-Maximilian Eggestein-Maximilian Eggestein-Christian Günter-Christian Günter-Christian Günter,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Patrick Osterhage-Christian Günter-Christian Günter-Christian Günter-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Patrick Osterhage-Patrick Osterhage-Patrick Osterhage-Philipp Lienhart-Philipp Lienhart,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry-Pass,Philipp Lienhart-Christian Günter-Christian Günter-Christian Günter,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Maximilian Eggestein-Maximilian Eggestein-Maximilian Eggestein-Noah Atubolu-Noah Atubolu-Noah Atubolu-Matthias Ginter-Matthias Ginter-Matthias Ginter-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Vincenzo Grifo-Vincenzo Grifo-Vincenzo Grifo-Patrick Osterhage-Patrick Osterhage-Patrick Osterhage-Matthias Ginter-Matthias Ginter-Matthias Ginter-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Philipp Lienhart-Noah Atubolu-Noah Atubolu-Noah Atubolu-Kiliann Sildillia-Kiliann Sildillia-Kiliann Sildillia-Lucas Höler-Lucas Höler-Lucas Höler-Ritsu Doan-Ritsu Doan,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Ritsu Doan-Maximilian Eggestein-Maximilian Eggestein-Maximilian Eggestein-Kiliann Sildillia-Kiliann Sildillia-Kiliann Sildillia,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Ball Receipt-Carry-Miscontrol,Merlin Röhl-Merlin Röhl-Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pressure,Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Philipp Lienhart-Noah Atubolu-Noah Atubolu-Noah Atubolu-Kiliann Sildillia-Kiliann Sildillia-Kiliann Sildillia,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure,Lucas Höler-Lucas Höler-Lucas Höler-Ritsu Doan-Ritsu Doan-Ritsu Doan-Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pressure,Lucas Höler,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Duel,Maximilian Eggestein,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Kiliann Sildillia-Matthias Ginter-Matthias Ginter-Matthias Ginter-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Maximilian Eggestein-Maximilian Eggestein-Maximilian Eggestein-Matthias Ginter-Matthias Ginter-Matthias Ginter-Ritsu Doan,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Block,Kiliann Sildillia,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pressure-Pressure,Patrick Osterhage-Vincenzo Grifo,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Clearance,Christian Günter,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Clearance,Philipp Lienhart,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Ball Recovery-Block-Pressure,Ritsu Doan-Ritsu Doan-Ritsu Doan,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pressure,Ritsu Doan,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Philipp Lienhart-Philipp Lienhart-Noah Atubolu-Noah Atubolu-Noah Atubolu-Kiliann Sildillia-Kiliann Sildillia,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Ball Receipt,Ritsu Doan,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pressure,Kiliann Sildillia,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Block,Kiliann Sildillia,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pressure,Matthias Ginter,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Matthias Ginter-Ritsu Doan-Ritsu Doan-Ritsu Doan-Lucas Höler-Lucas Höler,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry,Lucas Höler-Ritsu Doan-Ritsu Doan,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Dribble,Ritsu Doan,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry,Kiliann Sildillia-Philipp Lienhart-Philipp Lienhart,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Philipp Lienhart-Matthias Ginter-Matthias Ginter-Matthias Ginter-Noah Atubolu-Noah Atubolu-Noah Atubolu,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Ball Receipt-Carry-Pass-Pressure,Patrick Osterhage-Patrick Osterhage-Patrick Osterhage-Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Duel-Foul Committed,Merlin Röhl-Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pressure,Patrick Osterhage,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pressure-Foul Committed,Maximilian Eggestein-Maximilian Eggestein,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Noah Atubolu-Noah Atubolu-Maximilian Eggestein-Maximilian Eggestein-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Matthias Ginter-Matthias Ginter-Matthias Ginter-Kiliann Sildillia-Kiliann Sildillia-Kiliann Sildillia-Noah Atubolu-Noah Atubolu-Noah Atubolu-Patrick Osterhage-Patrick Osterhage-Patrick Osterhage-Vincenzo Grifo-Vincenzo Grifo-Vincenzo Grifo-Ritsu Doan-Ritsu Doan-Ritsu Doan,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pressure,Kiliann Sildillia,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Ritsu Doan-Maximilian Eggestein-Maximilian Eggestein-Merlin Röhl-Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Dribble-Carry,Merlin Röhl-Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Dribble-Carry,Merlin Röhl-Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass,Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pressure,Merlin Röhl,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Christian Günter-Christian Günter-Christian Günter-Vincenzo Grifo-Vincenzo Grifo-Vincenzo Grifo-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Vincenzo Grifo-Vincenzo Grifo-Vincenzo Grifo-Patrick Osterhage-Patrick Osterhage-Patrick Osterhage-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Christian Günter,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Clearance,Philipp Lienhart,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Ball Recovery-Carry-Pass,Matthias Ginter-Matthias Ginter-Matthias Ginter,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Noah Atubolu-Noah Atubolu-Noah Atubolu-Matthias Ginter-Matthias Ginter-Matthias Ginter-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Noah Atubolu-Noah Atubolu-Noah Atubolu-Matthias Ginter-Matthias Ginter-Matthias Ginter-Kiliann Sildillia-Kiliann Sildillia,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kiliann Sildillia-Ritsu Doan-Ritsu Doan-Ritsu Doan-Lucas Höler-Lucas Höler-Lucas Höler-Philipp Lienhart-Philipp Lienhart-Philipp Lienhart-Maximilian Eggestein-Maximilian Eggestein-Maximilian Eggestein-Matthias Ginter-Matthias Ginter-Matthias Ginter-Ritsu Doan-Ritsu Doan-Ritsu Doan-Maximilian Eggestein-Maximilian Eggestein,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Maximilian Eggestein-Kiliann Sildillia-Kiliann Sildillia-Kiliann Sildillia-Vincenzo Grifo,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
Ball Recovery-Carry-Pass,Vincenzo Grifo-Vincenzo Grifo-Vincenzo Grifo,3949698,Freiburg,Drawn,0,0,Second half,1.2956676670472445,0.7801869261885102
