words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Max Moerstedt,3949669,Hoffenheim,Lost,0,4,Second half,1.2950862494233686,0.7954300748444683
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Arthur Largura Chaves-Kevin Akpoguma-Dennis Geiger-Dennis Geiger-Dennis Geiger-Kevin Akpoguma-Kevin Akpoguma-Kevin Akpoguma-Arthur Largura Chaves-Arthur Largura Chaves-Arthur Largura Chaves,3949669,Hoffenheim,Lost,0,4,Second half,1.2950862494233686,0.7954300748444683
Ball Receipt-Carry-Pass-Ball Receipt-Pass,Dennis Geiger-Dennis Geiger-Dennis Geiger-Arthur Largura Chaves-Arthur Largura Chaves,3949669,Hoffenheim,Lost,0,4,Second half,1.2950862494233686,0.7954300748444683
Ball Receipt-Carry-Dribble-Carry,Andrej Kramarić-Andrej Kramarić-Andrej Kramarić-Andrej Kramarić,3949669,Hoffenheim,Lost,0,4,Second half,1.2950862494233686,0.7954300748444683
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Miscontrol,Andrej Kramarić-Marius Bülter-Marius Bülter-Max Moerstedt-Max Moerstedt-Max Moerstedt,3949669,Hoffenheim,Lost,0,4,Second half,1.2950862494233686,0.7954300748444683
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Tom Bischof-Tom Bischof-Tom Bischof-Marius Bülter-Marius Bülter-Marius Bülter-Adam Hložek,3949669,Hoffenheim,Lost,0,4,Second half,1.2950862494233686,0.7954300748444683
Pressure,Arthur Largura Chaves,3949669,Hoffenheim,Lost,0,4,Second half,1.2950862494233686,0.7954300748444683
Pressure,Marius Bülter,3949669,Hoffenheim,Lost,0,4,Second half,1.2950862494233686,0.7954300748444683
Ball Recovery-Carry,Dennis Geiger-Dennis Geiger,3949669,Hoffenheim,Lost,0,4,Second half,1.2950862494233686,0.7954300748444683
Pass-Ball Receipt-Carry,Dennis Geiger-Adam Hložek-Adam Hložek,3949669,Hoffenheim,Lost,0,4,Second half,1.2950862494233686,0.7954300748444683
