words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Duel,Finn-Dominik Porath-Marko Ivezić-Marko Ivezić-Marko Ivezić-Lewis Harry Holtby,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure,Lewis Harry Holtby,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure,Nicolai Remberg,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure,Marko Ivezić,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure,Max Geschwill,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Goal Keeper-Pass-Ball Receipt-Pass,Timon Weiner-Finn-Dominik Porath-Marko Ivezić-Marko Ivezić,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pass-Ball Receipt,Lasse Rosenboom-Nicolai Remberg,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Dispossessed,Nicolai Remberg,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure,Nicolai Remberg,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure-Foul Committed,Max Geschwill-Max Geschwill,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure,Steven Skrzybski,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure,Lasse Rosenboom,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Timon Weiner-Timon Weiner-Timon Weiner-Marko Ivezić-Marko Ivezić-Marko Ivezić-Timon Weiner-Timon Weiner,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pass,Timon Weiner,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure,Lewis Harry Holtby,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure,Nicolai Remberg,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pass-Ball Receipt-Carry,Finn-Dominik Porath-Lewis Harry Holtby-Lewis Harry Holtby,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pass,Lewis Harry Holtby,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure,Lewis Harry Holtby,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure-Pressure,Steven Skrzybski-Armin Gigovic,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure-Pressure,Finn-Dominik Porath-Max Geschwill,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Duel,Max Geschwill,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pass-Ball Receipt,Armin Gigovic-Finn-Dominik Porath,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pass-Ball Receipt-Carry,Finn-Dominik Porath-Max Geschwill-Max Geschwill,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pass,Max Geschwill,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Marko Ivezić-Marko Ivezić-Marko Ivezić-Marvin Schulz-Marvin Schulz-Marvin Schulz-Lasse Rosenboom-Lasse Rosenboom,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Lasse Rosenboom-Lewis Harry Holtby-Lewis Harry Holtby-Lewis Harry Holtby-Marvin Schulz-Marvin Schulz,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pass,Marvin Schulz,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Block,Lasse Rosenboom,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pass-Ball Receipt-Pass-Pressure-Foul Committed,Marvin Schulz-Lasse Rosenboom-Lasse Rosenboom-Phil Harres-Phil Harres,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure,Lasse Rosenboom,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Duel,Marko Ivezić,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Ball Recovery-Carry,Armin Gigovic-Armin Gigovic,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Foul Won-Pass,Armin Gigovic-Lewis Harry Holtby,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Pressure,Finn-Dominik Porath,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
Block,Finn-Dominik Porath,3949604,Holstein Kiel,Lost,1,4,First half,0.8836671702531932,0.8357865121132437
