words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass,Xavi Simons-El Chadaille Bitshiabu-El Chadaille Bitshiabu-El Chadaille Bitshiabu,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Duel,Lukas Klostermann,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pressure-Pressure,Ridle Bote Baku-Nicolas Seiwald,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass-Ball Receipt-Carry,Lukas Klostermann-Kosta Nedeljković-Kosta Nedeljković,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kosta Nedeljković-Lukas Klostermann-Lukas Klostermann-Lukas Klostermann-El Chadaille Bitshiabu-El Chadaille Bitshiabu,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,El Chadaille Bitshiabu-Xavi Simons-Xavi Simons-Xavi Simons-Arthur Vermeeren-Arthur Vermeeren,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Arthur Vermeeren-Junior Castello Lukeba-Junior Castello Lukeba-Junior Castello Lukeba-El Chadaille Bitshiabu-El Chadaille Bitshiabu-El Chadaille Bitshiabu-Lukas Klostermann-Lukas Klostermann-Lukas Klostermann-Kosta Nedeljković-Kosta Nedeljković-Kosta Nedeljković,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Ball Receipt-Carry,Benjamin Šeško-Benjamin Šeško,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass,Benjamin Šeško,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass,Xavi Simons,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Duel,Nicolas Seiwald,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass-Ball Receipt,Junior Castello Lukeba-Ikoma Loïs Openda,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass-Ball Receipt-Carry,Ikoma Loïs Openda-Xavi Simons-Xavi Simons,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Shot,Xavi Simons,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pressure,Ikoma Loïs Openda,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Duel,Lukas Klostermann,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pressure,Nicolas Seiwald,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Duel-Carry-Pass,Nicolas Seiwald-Nicolas Seiwald-Nicolas Seiwald,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Ball Receipt-Carry-Pass,Péter Gulácsi-Péter Gulácsi-Péter Gulácsi,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass-Ball Receipt,Xavi Simons-Arthur Vermeeren,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pressure,Arthur Vermeeren,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Arthur Vermeeren-Arthur Vermeeren-Arthur Vermeeren-Xavi Simons-Xavi Simons-Xavi Simons-Ikoma Loïs Openda-Ikoma Loïs Openda-Ikoma Loïs Openda-Junior Castello Lukeba-Junior Castello Lukeba-Junior Castello Lukeba-Xavi Simons-Xavi Simons-Xavi Simons-Ikoma Loïs Openda,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pressure,Lukas Klostermann,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pressure-Pressure,Kosta Nedeljković-Arthur Vermeeren,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass,Lukas Klostermann,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Arthur Vermeeren-Junior Castello Lukeba-Junior Castello Lukeba-Junior Castello Lukeba-Ridle Bote Baku-Ridle Bote Baku-Ridle Bote Baku-Benjamin Šeško,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pressure,Benjamin Šeško,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pressure,Lukas Klostermann,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pressure,Nicolas Seiwald,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Duel,Nicolas Seiwald,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass,Nicolas Seiwald,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Ball Receipt-Carry-Dribble-Carry,Benjamin Šeško-Benjamin Šeško-Benjamin Šeško-Benjamin Šeško,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Benjamin Šeško-Ikoma Loïs Openda-Ikoma Loïs Openda-Ikoma Loïs Openda-Arthur Vermeeren-Arthur Vermeeren-Arthur Vermeeren-Junior Castello Lukeba-Junior Castello Lukeba-Junior Castello Lukeba-Xavi Simons-Xavi Simons-Xavi Simons-Nicolas Seiwald-Nicolas Seiwald-Nicolas Seiwald-Kosta Nedeljković-Kosta Nedeljković-Kosta Nedeljković,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Junior Castello Lukeba-Arthur Vermeeren-Arthur Vermeeren-Arthur Vermeeren-El Chadaille Bitshiabu-El Chadaille Bitshiabu-El Chadaille Bitshiabu-Lukas Klostermann-Lukas Klostermann-Lukas Klostermann-Ridle Bote Baku-Ridle Bote Baku-Ridle Bote Baku-Nicolas Seiwald-Nicolas Seiwald-Nicolas Seiwald-Kosta Nedeljković-Kosta Nedeljković,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass,Kosta Nedeljković,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,Ridle Bote Baku-Ridle Bote Baku-Kosta Nedeljković-Kosta Nedeljković-Kosta Nedeljković-Benjamin Šeško-Benjamin Šeško,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Offside,Kosta Nedeljković,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Duel,Lukas Klostermann,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Péter Gulácsi-Péter Gulácsi-Péter Gulácsi-Lukas Klostermann-Lukas Klostermann-Lukas Klostermann-Arthur Vermeeren-Arthur Vermeeren-Arthur Vermeeren,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Xavi Simons-Xavi Simons-Xavi Simons-El Chadaille Bitshiabu-El Chadaille Bitshiabu,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass-Ball Receipt-Carry,El Chadaille Bitshiabu-Junior Castello Lukeba-Junior Castello Lukeba,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass,Junior Castello Lukeba,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
50/50,Junior Castello Lukeba,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Ball Recovery-Carry,Ridle Bote Baku-Ridle Bote Baku,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Foul Won-Pass,Ridle Bote Baku-El Chadaille Bitshiabu,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pressure,Ridle Bote Baku,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pass,El Chadaille Bitshiabu,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Ball Receipt-Carry-Pass,Péter Gulácsi-Péter Gulácsi-Péter Gulácsi,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pressure,Xavi Simons,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
Pressure,Benjamin Šeško,3949741,RB Leipzig,Won,3,2,Second half,1.6454810152794654,0.7039688452647357
