words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Johannes Eggestein-Eric Anders Smith-Eric Anders Smith-Eric Anders Smith-Philipp Treu-Philipp Treu-Philipp Treu-Jackson Irvine-Jackson Irvine,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Pressure,Oladapo Afolayan,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Pressure,Oladapo Afolayan,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Pressure,Manolis Saliakas,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Duel-Ball Recovery-Carry,Manolis Saliakas-Karol Mets-Karol Mets,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Pass,Karol Mets,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Foul Won-Pass-Ball Receipt,Oladapo Afolayan-Nikola Vasilj-Carlo Boukhalfa,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Pass,Carlo Boukhalfa,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Duel,Manolis Saliakas,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,Hauke Wahl-Hauke Wahl-Hauke Wahl-Eric Anders Smith-Eric Anders Smith-Eric Anders Smith,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nikola Vasilj-Nikola Vasilj-Nikola Vasilj-Karol Mets-Karol Mets-Karol Mets-Philipp Treu-Philipp Treu-Philipp Treu-Morgan Guilavogui-Morgan Guilavogui,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Dispossessed,Morgan Guilavogui,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Pass-Ball Receipt-Duel,Philipp Treu-Carlo Boukhalfa-Carlo Boukhalfa,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Pass,Philipp Treu,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Eric Anders Smith-Eric Anders Smith-Philipp Treu-Philipp Treu-Philipp Treu-Oladapo Afolayan-Oladapo Afolayan-Oladapo Afolayan-Manolis Saliakas-Manolis Saliakas-Manolis Saliakas-Oladapo Afolayan-Oladapo Afolayan,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Dribble,Oladapo Afolayan,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Block,Oladapo Afolayan,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Pass,Hauke Wahl,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Ball Receipt-Carry-Miscontrol-Pressure-Duel,Morgan Guilavogui-Morgan Guilavogui-Morgan Guilavogui-Morgan Guilavogui-Oladapo Afolayan,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Pressure,Oladapo Afolayan,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Pressure,Manolis Saliakas,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
Block,Manolis Saliakas,3949557,St. Pauli,Won,2,0,First half,1.3000596262498403,0.7798995039375533
