words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Aljoscha Kemlein-Danilho Doekhi-Danilho Doekhi-Danilho Doekhi-Theoson Jordan Siebatcheu,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Diogo Filipe Monteiro Pinto Leite-Aljoscha Kemlein-Aljoscha Kemlein-Aljoscha Kemlein-Diogo Filipe Monteiro Pinto Leite-Diogo Filipe Monteiro Pinto Leite-Diogo Filipe Monteiro Pinto Leite,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Ball Receipt-Carry,Benedict Hollerbach-Benedict Hollerbach,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Pass,Benedict Hollerbach,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Ball Receipt-Carry-Pass-Ball Receipt,Robert Skov-Robert Skov-Robert Skov-Theoson Jordan Siebatcheu,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Pressure,Benedict Hollerbach,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Pressure,András Schäfer,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Pressure,Theoson Jordan Siebatcheu,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Block,Theoson Jordan Siebatcheu,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Pressure,András Schäfer,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Pressure,Josip Juranović,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Pressure,Benedict Hollerbach,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Ball Recovery-Carry-Pass-Ball Receipt,Robert Skov-Robert Skov-Robert Skov-Theoson Jordan Siebatcheu,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Pass,Aljoscha Kemlein,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,András Schäfer-András Schäfer-András Schäfer-Leopold Querfeld-Leopold Querfeld-Leopold Querfeld-Danilho Doekhi-Danilho Doekhi-Danilho Doekhi-Leopold Querfeld-Leopold Querfeld-Leopold Querfeld-Diogo Filipe Monteiro Pinto Leite-Diogo Filipe Monteiro Pinto Leite,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Pass-Ball Receipt-Carry,Diogo Filipe Monteiro Pinto Leite-Robert Skov-Robert Skov,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
Pass-Ball Receipt,Robert Skov-Theoson Jordan Siebatcheu,3949651,Union Berlin,Lost,0,3,First half,1.2417502265972284,0.7776600292986118
