words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Pass,Maximilian Mittelstädt-Atakan Karazor-Atakan Karazor,3949498,VfB Stuttgart,Drawn,3,3,First half,1.8057036528150494,0.7467008820539299
Ball Receipt,Deniz Undav,3949498,VfB Stuttgart,Drawn,3,3,First half,1.8057036528150494,0.7467008820539299
Miscontrol,Deniz Undav,3949498,VfB Stuttgart,Drawn,3,3,First half,1.8057036528150494,0.7467008820539299
Pass-Ball Receipt-Carry,Atakan Karazor-Pascal Stenzel-Pascal Stenzel,3949498,VfB Stuttgart,Drawn,3,3,First half,1.8057036528150494,0.7467008820539299
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Pascal Stenzel-Julian Chabot-Julian Chabot-Julian Chabot-Anrie Chase-Anrie Chase-Alexander Nübel-Alexander Nübel,3949498,VfB Stuttgart,Drawn,3,3,First half,1.8057036528150494,0.7467008820539299
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Alexander Nübel-Julian Chabot-Julian Chabot-Julian Chabot-Atakan Karazor,3949498,VfB Stuttgart,Drawn,3,3,First half,1.8057036528150494,0.7467008820539299
Pass-Ball Receipt-Carry,Julian Chabot-Alexander Nübel-Alexander Nübel,3949498,VfB Stuttgart,Drawn,3,3,First half,1.8057036528150494,0.7467008820539299
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Alexander Nübel-Atakan Karazor-Atakan Karazor-Anrie Chase-Anrie Chase-Alexander Nübel-Alexander Nübel-Alexander Nübel-Julian Chabot-Julian Chabot-Julian Chabot-Chris Führich,3949498,VfB Stuttgart,Drawn,3,3,First half,1.8057036528150494,0.7467008820539299
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Maximilian Mittelstädt-Angelo Stiller-Angelo Stiller-Deniz Undav-Deniz Undav-Deniz Undav-Angelo Stiller-Angelo Stiller,3949498,VfB Stuttgart,Drawn,3,3,First half,1.8057036528150494,0.7467008820539299
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Angelo Stiller-Pascal Stenzel-Pascal Stenzel-Pascal Stenzel-Deniz Undav-Deniz Undav,3949498,VfB Stuttgart,Drawn,3,3,First half,1.8057036528150494,0.7467008820539299
Dispossessed,Deniz Undav,3949498,VfB Stuttgart,Drawn,3,3,First half,1.8057036528150494,0.7467008820539299
Pass,Maximilian Mittelstädt,3949498,VfB Stuttgart,Drawn,3,3,First half,1.8057036528150494,0.7467008820539299
Ball Receipt-Carry,Angelo Stiller-Angelo Stiller,3949498,VfB Stuttgart,Drawn,3,3,First half,1.8057036528150494,0.7467008820539299
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Angelo Stiller-Atakan Karazor-Maximilian Mittelstädt-Maximilian Mittelstädt-Chris Führich-Chris Führich-Chris Führich-Atakan Karazor-Atakan Karazor-Atakan Karazor-Pascal Stenzel-Pascal Stenzel-Pascal Stenzel-Anrie Chase-Anrie Chase-Anrie Chase-Julian Chabot-Julian Chabot-Julian Chabot-Chris Führich-Chris Führich-Chris Führich-Maximilian Mittelstädt-Maximilian Mittelstädt-Maximilian Mittelstädt-Chris Führich-Chris Führich,3949498,VfB Stuttgart,Drawn,3,3,First half,1.8057036528150494,0.7467008820539299
