words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Interception-Carry,Mitchell Weiser-Mitchell Weiser,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Pass,Mitchell Weiser,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Ball Receipt-Carry-Pass,Jens Stage-Jens Stage-Jens Stage,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Ball Receipt-Carry,Senne Lynen-Senne Lynen,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Senne Lynen-Senne Lynen-Anthony Jung-Anthony Jung-Marco Friedl-Marco Friedl-Marco Friedl-Niklas Stark-Niklas Stark-Niklas Stark-Mitchell Weiser-Mitchell Weiser-Mitchell Weiser,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Ball Receipt-Carry-Miscontrol,Marco Grüll-Marco Grüll-Marco Grüll,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Pressure,Marvin Ducksch,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Pressure,Romano Schmid,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Pressure-Pressure,Senne Lynen-Jens Stage,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Pass-Ball Receipt-Carry,Anthony Jung-Senne Lynen-Senne Lynen,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Pass-Ball Receipt,Senne Lynen-Marco Grüll,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Pressure,Derrick Arthur Köhn,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Interception,Niklas Stark,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Clearance-Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Anthony Jung-Michael Zetterer-Michael Zetterer-Marco Friedl-Marco Friedl-Niklas Stark-Niklas Stark-Niklas Stark-Mitchell Weiser,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Pressure-Pressure,Mitchell Weiser-Marco Grüll,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Duel-Carry,Marco Grüll-Marco Grüll,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Dispossessed,Marco Grüll,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Block-Pressure,Mitchell Weiser-Jens Stage,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Block-Pressure,Jens Stage-Marco Grüll,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Pressure,Jens Stage,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Duel-Carry,Jens Stage-Jens Stage,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Pass,Jens Stage,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Ball Receipt-Pass,Niklas Stark-Niklas Stark,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Ball Receipt-Pass,Marvin Ducksch-Marvin Ducksch,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
Ball Receipt-Pass,Marco Grüll-Marco Grüll,3949618,Werder Bremen,Lost,2,4,First half,1.889887065718068,0.6720621457838958
