words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Substitution-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946400,Barcelona,Won,2,1,First half
Foul Committed,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Block-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Shot,3946400,Barcelona,Won,2,1,First half
Ball Recovery-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Ball Receipt-Carry-Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Pass,3946400,Barcelona,Won,2,1,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt,3946400,Barcelona,Won,2,1,First half
Dribbled Past-Pressure,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Ball Recovery,3946400,Barcelona,Won,2,1,First half
Pass-Ball Receipt-Duel,3946400,Barcelona,Won,2,1,First half
Ball Recovery-Carry-Shot,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
Pressure,3946400,Barcelona,Won,2,1,First half
