words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Oihan Sancet Tirapu-Yeray Álvarez López-Yeray Álvarez López-Yeray Álvarez López-Alejandro Berenguer Remiro,3946395,Athletic Club,Drawn,1,1,First half,1.5285845615827556,0.7437961763938821
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Yeray Álvarez López-Yeray Álvarez López-Daniel Vivian Moreno-Daniel Vivian Moreno-Daniel Vivian Moreno-Alejandro Padilla Pérez-Alejandro Padilla Pérez,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass,Daniel Vivian Moreno,3946418,Athletic Club,Won,1,0,First half,2.430678399666692,0.6732109757475812
Pass-Ball Receipt,Iñaki Williams Arthuer-Oihan Sancet Tirapu,3946427,Athletic Club,Lost,0,1,First half,1.104617732519452,0.8120381700052066
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Gorka Guruzeta Rodríguez-Gorka Guruzeta Rodríguez-Gorka Guruzeta Rodríguez-Óscar de Marcos Arana-Óscar de Marcos Arana,3946440,Athletic Club,Won,3,2,First half,1.7596952787173137,0.6803736708952649
Pressure,Mikel Jauregizar Alboniga,3946445,Athletic Club,Won,3,1,First half,1.5846679240151946,0.7352847820880158
Pass,Yuri Berchiche Izeta,3946460,Athletic Club,Won,2,0,First half,1.042299536780806,0.7932611652349073
Ball Recovery-Carry-Pass,Iñigo Ruiz de Galarreta Etxeberria-Iñigo Ruiz de Galarreta Etxeberria-Iñigo Ruiz de Galarreta Etxeberria,3946465,Athletic Club,Drawn,1,1,First half,1.5103370386893464,0.7113280017922144
Duel-Ball Recovery-Carry,Mikel Jauregizar Alboniga-Óscar de Marcos Arana-Óscar de Marcos Arana,3946480,Athletic Club,Lost,1,2,First half,1.189549035993921,0.7592079680370766
Ball Receipt-Carry-Dispossessed,Iñaki Williams Arthuer-Iñaki Williams Arthuer-Iñaki Williams Arthuer,3946494,Athletic Club,Won,4,1,First half,1.7510046598124125,0.7213409085031304
Pass-Ball Receipt-Carry,Yuri Berchiche Izeta-Álvaro Djaló Dias Fernandes-Álvaro Djaló Dias Fernandes,3946497,Athletic Club,Drawn,0,0,First half,1.3653961705339603,0.7774445990613572
Foul Won-Pass-Ball Receipt,Yuri Berchiche Izeta-Julen Agirrezabala Astúlez-Iñaki Williams Arthuer,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pressure,Iñigo Ruiz de Galarreta Etxeberria,3946519,Athletic Club,Drawn,1,1,First half,1.3314910112739264,0.7760871160290357
Ball Recovery,Iñigo Ruiz de Galarreta Etxeberria,3946525,Athletic Club,Won,1,0,First half,1.6220403296788246,0.6908789798671094
Pass-Ball Receipt-Carry,Nicholas Williams Arthuer-Yuri Berchiche Izeta-Yuri Berchiche Izeta,3946539,Athletic Club,Won,2,1,First half,1.6513465075773963,0.7274318406281681
Pass-Ball Receipt-Pass,Julen Agirrezabala Astúlez-Oihan Sancet Tirapu-Oihan Sancet Tirapu,3946545,Athletic Club,Won,2,0,First half,1.218455199306797,0.7702328330553178
Pass-Ball Receipt-Carry-Shot,Iñigo Ruiz de Galarreta Etxeberria-Iñaki Williams Arthuer-Iñaki Williams Arthuer-Iñaki Williams Arthuer,3946558,Athletic Club,Drawn,1,1,First half,1.0378233380887898,0.7798937899955253
