words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Oihan Sancet Tirapu-Yeray Álvarez López-Yeray Álvarez López-Yeray Álvarez López-Alejandro Berenguer Remiro,3946395,Athletic Club,Drawn,1,1,First half,1.5285845615827556,0.7437961763938821
Pass-Ball Receipt,Yuri Berchiche Izeta-Ander Herrera Agüera,3946395,Athletic Club,Drawn,1,1,First half,1.5285845615827556,0.7437961763938821
Pressure,Alejandro Berenguer Remiro,3946395,Athletic Club,Drawn,1,1,First half,1.5285845615827556,0.7437961763938821
Pass-Ball Receipt-Pass-Pressure,Yuri Berchiche Izeta-Gorka Guruzeta Rodríguez-Gorka Guruzeta Rodríguez-Alejandro Berenguer Remiro,3946395,Athletic Club,Drawn,1,1,First half,1.5285845615827556,0.7437961763938821
Pass,Alejandro Padilla Pérez,3946395,Athletic Club,Drawn,1,1,First half,1.5285845615827556,0.7437961763938821
Clearance,Yeray Álvarez López,3946395,Athletic Club,Drawn,1,1,First half,1.5285845615827556,0.7437961763938821
Foul Won-Pass,Ander Herrera Agüera-Alejandro Berenguer Remiro,3946395,Athletic Club,Drawn,1,1,First half,1.5285845615827556,0.7437961763938821
Pass-Ball Receipt-Carry,Yuri Berchiche Izeta-Ander Herrera Agüera-Ander Herrera Agüera,3946395,Athletic Club,Drawn,1,1,First half,1.5285845615827556,0.7437961763938821
Pass,Ander Herrera Agüera,3946395,Athletic Club,Drawn,1,1,First half,1.5285845615827556,0.7437961763938821
Substitution-Substitution-Pass-Tactical Shift-Ball Receipt,Beñat Prados Díaz-Mikel Vesga Arruti-Yuri Berchiche Izeta-Unknown-Ander Herrera Agüera,3946395,Athletic Club,Drawn,1,1,First half,1.5285845615827556,0.7437961763938821
Dribble,Alejandro Berenguer Remiro,3946395,Athletic Club,Drawn,1,1,First half,1.5285845615827556,0.7437961763938821
