words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Duel-Pass-Ball Receipt,Pablo Barrios Rivas-Robin Aime Robert Le Normand-Alexander Sørloth,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Antoine Griezmann-Antoine Griezmann-Antoine Griezmann-Nahuel Molina Lucero-Nahuel Molina Lucero-Nahuel Molina Lucero,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Ball Receipt-Pass,Nahuel Molina Lucero-Nahuel Molina Lucero,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pass,José María Giménez de Vargas,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,Samuel Dias Lino-Robin Aime Robert Le Normand-Robin Aime Robert Le Normand-Robin Aime Robert Le Normand-César Azpilicueta Tanco-César Azpilicueta Tanco-César Azpilicueta Tanco-Nahuel Molina Lucero-Nahuel Molina Lucero-Nahuel Molina Lucero-Pablo Barrios Rivas-Pablo Barrios Rivas-Marcos Llorente Moreno,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Samuel Dias Lino-Robin Aime Robert Le Normand-Robin Aime Robert Le Normand-Robin Aime Robert Le Normand-Rodrigo Javier De Paul-Rodrigo Javier De Paul-Rodrigo Javier De Paul-Pablo Barrios Rivas-Pablo Barrios Rivas-Pablo Barrios Rivas-César Azpilicueta Tanco-César Azpilicueta Tanco-César Azpilicueta Tanco-Nahuel Molina Lucero-Nahuel Molina Lucero-Nahuel Molina Lucero-César Azpilicueta Tanco-César Azpilicueta Tanco-César Azpilicueta Tanco-José María Giménez de Vargas-José María Giménez de Vargas-José María Giménez de Vargas-Robin Aime Robert Le Normand-Robin Aime Robert Le Normand-Robin Aime Robert Le Normand-Samuel Dias Lino-Samuel Dias Lino,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,Rodrigo Javier De Paul-Robin Aime Robert Le Normand-Robin Aime Robert Le Normand-José María Giménez de Vargas-José María Giménez de Vargas-César Azpilicueta Tanco-César Azpilicueta Tanco-César Azpilicueta Tanco,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pressure,Pablo Barrios Rivas,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pressure,Ángel Martín Correa,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Substitution-Tactical Shift,Jorge Resurrección Merodio-Unknown,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Shot,Samuel Dias Lino,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pass-Ball Receipt-Carry,Ángel Martín Correa-Samuel Dias Lino-Samuel Dias Lino,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Pablo Barrios Rivas-Samuel Dias Lino-Samuel Dias Lino-Samuel Dias Lino-Pablo Barrios Rivas-Pablo Barrios Rivas-Pablo Barrios Rivas-Ángel Martín Correa-Ángel Martín Correa,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Ángel Martín Correa-Antoine Griezmann-Antoine Griezmann-Antoine Griezmann-Pablo Barrios Rivas-Pablo Barrios Rivas,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,César Azpilicueta Tanco-Nahuel Molina Lucero-Nahuel Molina Lucero-Nahuel Molina Lucero-César Azpilicueta Tanco-César Azpilicueta Tanco-César Azpilicueta Tanco-Ángel Martín Correa-Ángel Martín Correa,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,César Azpilicueta Tanco-Nahuel Molina Lucero-Nahuel Molina Lucero-Nahuel Molina Lucero-César Azpilicueta Tanco-César Azpilicueta Tanco,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Foul Won-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Jorge Resurrección Merodio-Ángel Martín Correa-Ángel Martín Correa-Ángel Martín Correa-Samuel Dias Lino-Samuel Dias Lino-Samuel Dias Lino-Pablo Barrios Rivas-Pablo Barrios Rivas-Pablo Barrios Rivas-Marcos Llorente Moreno-Marcos Llorente Moreno-Marcos Llorente Moreno-Antoine Griezmann-Antoine Griezmann-Antoine Griezmann-Ángel Martín Correa,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Ball Receipt-Carry-Dispossessed,Jorge Resurrección Merodio-Jorge Resurrección Merodio-Jorge Resurrección Merodio,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pass,Antoine Griezmann,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Jorge Resurrección Merodio-Jorge Resurrección Merodio-Jorge Resurrección Merodio-Antoine Griezmann-Antoine Griezmann,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pressure-Pressure,Marcos Llorente Moreno-Jorge Resurrección Merodio,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Block,Pablo Barrios Rivas,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pressure,Pablo Barrios Rivas,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pressure,Marcos Llorente Moreno,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
Pass-Ball Receipt-Carry,Nahuel Molina Lucero-Ángel Martín Correa-Ángel Martín Correa,3946404,Atlético Madrid,Drawn,2,2,First half,1.207877941516967,0.8183657724165315
