words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Alejandro Balde Martínez-Íñigo Martínez Berridi-Íñigo Martínez Berridi-Pau Cubarsí Paredes-Pau Cubarsí Paredes-Íñigo Martínez Berridi-Íñigo Martínez Berridi-Íñigo Martínez Berridi-Pau Cubarsí Paredes-Pau Cubarsí Paredes-Pau Cubarsí Paredes-Marc-André ter Stegen-Marc-André ter Stegen,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Substitution-Pass-Ball Receipt,Marc Bernal Casas-Raphael Dias Belloli-Íñigo Martínez Berridi,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,Marc Casadó Torras-Lamine Yamal Nasraoui Ebana-Lamine Yamal Nasraoui Ebana-Lamine Yamal Nasraoui Ebana-Marc Casadó Torras-Marc Casadó Torras-Marc Casadó Torras-Robert Lewandowski-Robert Lewandowski-Robert Lewandowski,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Pass-Ball Receipt-Carry,Marc Bernal Casas-Marc Casadó Torras-Marc Casadó Torras,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,Gerard Martín Langreo-Gerard Martín Langreo-Pedro González López-Pedro González López-Robert Lewandowski,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Íñigo Martínez Berridi-Marc-André ter Stegen-Marc-André ter Stegen-Marc-André ter Stegen-Jules Koundé-Jules Koundé-Jules Koundé-Marc Casadó Torras-Marc Casadó Torras-Marc Casadó Torras,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Foul Committed,Andreas Christensen,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Pressure,Andreas Christensen,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Pedro González López-Marc Bernal Casas-Marc Bernal Casas-Andreas Christensen-Andreas Christensen-Andreas Christensen-Jules Koundé-Jules Koundé-Jules Koundé-Andreas Christensen-Andreas Christensen-Andreas Christensen-Pedro González López-Pedro González López-Pedro González López-Andreas Christensen-Andreas Christensen-Andreas Christensen-Robert Lewandowski,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Block-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Marc Casadó Torras-Andreas Christensen-Andreas Christensen-Andreas Christensen-Pedro González López-Pedro González López-Pedro González López-Gerard Martín Langreo-Gerard Martín Langreo-Gerard Martín Langreo-Pedro González López-Pedro González López,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Marc Casadó Torras-Jules Koundé-Jules Koundé-Jules Koundé-Marc Casadó Torras,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Shot,Íñigo Martínez Berridi,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Ball Recovery-Pass-Ball Receipt,Gerard Martín Langreo-Gerard Martín Langreo-Marc Casadó Torras,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Raphael Dias Belloli-Lamine Yamal Nasraoui Ebana-Lamine Yamal Nasraoui Ebana-Lamine Yamal Nasraoui Ebana-Raphael Dias Belloli-Raphael Dias Belloli-Raphael Dias Belloli,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,Andreas Christensen-Jules Koundé-Jules Koundé-Jules Koundé-Lamine Yamal Nasraoui Ebana-Lamine Yamal Nasraoui Ebana-Lamine Yamal Nasraoui Ebana-Jules Koundé-Jules Koundé-Pedro González López,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
Ball Receipt-Carry-Pass-Ball Receipt,Marc Bernal Casas-Marc Bernal Casas-Marc Bernal Casas-Jules Koundé,3946400,Barcelona,Won,2,1,First half,1.7636732648785542,0.7425403028133242
