words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Jon Guridi Aldalur-Ander Guevara Lajo-Ander Guevara Lajo-Ander Guevara Lajo-Carlos Vicente Robles-Carlos Vicente Robles-Carlos Vicente Robles-Abdelkabir Abqar-Abdelkabir Abqar-Abdelkabir Abqar-Nahuel Tenaglia-Nahuel Tenaglia-Nahuel Tenaglia-Moussa Diarra-Moussa Diarra-Moussa Diarra-Enrique García Martínez,3946398,Deportivo Alavés,Lost,1,2,First half,1.325089702488297,0.7561839639427683
Ball Receipt-Carry-Dribble,Hugo Novoa Ramos-Hugo Novoa Ramos-Hugo Novoa Ramos,3946398,Deportivo Alavés,Lost,1,2,First half,1.325089702488297,0.7561839639427683
Pass,Carlos Vicente Robles,3946398,Deportivo Alavés,Lost,1,2,First half,1.325089702488297,0.7561839639427683
Interception,Carlos Vicente Robles,3946398,Deportivo Alavés,Lost,1,2,First half,1.325089702488297,0.7561839639427683
Pass,Enrique García Martínez,3946398,Deportivo Alavés,Lost,1,2,First half,1.325089702488297,0.7561839639427683
Substitution-Substitution-Pass-Ball Receipt,Jon Guridi Aldalur-Tomás José Conechny-Antonio Sivera Salvá-Enrique García Martínez,3946398,Deportivo Alavés,Lost,1,2,First half,1.325089702488297,0.7561839639427683
Pressure,Antonio Blanco Conde,3946398,Deportivo Alavés,Lost,1,2,First half,1.325089702488297,0.7561839639427683
Dribble,Nahuel Tenaglia,3946398,Deportivo Alavés,Lost,1,2,First half,1.325089702488297,0.7561839639427683
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Antonio Sivera Salvá-Jon Guridi Aldalur-Antonio Blanco Conde-Antonio Blanco Conde-Antonio Blanco Conde-Carlos Vicente Robles-Carlos Vicente Robles-Carlos Vicente Robles-Abdelkabir Abqar-Abdelkabir Abqar-Abdelkabir Abqar-Nahuel Tenaglia-Nahuel Tenaglia,3946398,Deportivo Alavés,Lost,1,2,First half,1.325089702488297,0.7561839639427683
Pressure,Nahuel Tenaglia,3946398,Deportivo Alavés,Lost,1,2,First half,1.325089702488297,0.7561839639427683
