words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass,Sergi Gómez Solà,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
Pressure,Irvin Cardona,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
Block-Duel,Alejo Véliz-Irvin Cardona,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Duel,Joan García Pons-Joan García Pons-Sergi Gómez Solà-Sergi Gómez Solà-Alejo Véliz-Alejo Véliz,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
Foul Committed,José Gragera Amado,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
Pressure,José Gragera Amado,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
Clearance,Alex Král,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
Block-Goal Keeper,Leandro Daniel Cabrera Sasía-Joan García Pons,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
Clearance,Leandro Daniel Cabrera Sasía,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
Pressure,Omar El Hilali,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
Duel,Alex Král,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
Pass-Ball Receipt-Pass,Alex Král-Álvaro Tejero Sacristán-Álvaro Tejero Sacristán,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
Duel-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Alex Král-José Gragera Amado-Alex Král-Alex Král-Alex Král-Álvaro Tejero Sacristán-Álvaro Tejero Sacristán-Álvaro Tejero Sacristán-Javier Puado Díaz-Javier Puado Díaz-Javier Puado Díaz-Alex Král-Alex Král,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
Pressure,Alex Král,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
Pressure,Javier Puado Díaz,3946403,Espanyol,Lost,0,1,First half,1.0198202970833854,0.8377432221812686
