words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Duel,Juan Antonio Iglesias Sánchez,3946395,Getafe,Drawn,1,1,First half,1.1794370462825192,0.7627969224957157
Ball Recovery-Pass-Ball Receipt-Carry,Carles Aleña Castillo-Peter Federico Gonzalez Carmona-Chrisantus Ugonna Uche-Chrisantus Ugonna Uche,3946395,Getafe,Drawn,1,1,First half,1.1794370462825192,0.7627969224957157
Ball Receipt-Carry-Pass-Ball Receipt-Duel,David Soria Solís-David Soria Solís-David Soria Solís-Peter Federico Gonzalez Carmona-Peter Federico Gonzalez Carmona,3946395,Getafe,Drawn,1,1,First half,1.1794370462825192,0.7627969224957157
Pass,Djené Dakonam Ortega,3946395,Getafe,Drawn,1,1,First half,1.1794370462825192,0.7627969224957157
Pass,Omar Federico Alderete Fernández,3946395,Getafe,Drawn,1,1,First half,1.1794370462825192,0.7627969224957157
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Carles Aleña Castillo-Chrisantus Ugonna Uche-Chrisantus Ugonna Uche-Chrisantus Ugonna Uche-Peter Federico Gonzalez Carmona,3946395,Getafe,Drawn,1,1,First half,1.1794370462825192,0.7627969224957157
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,David Soria Solís-David Soria Solís-David Soria Solís-Djené Dakonam Ortega-Djené Dakonam Ortega-Djené Dakonam Ortega-Nabil Aberdin-Nabil Aberdin-Nabil Aberdin-David Soria Solís-David Soria Solís-David Soria Solís-Omar Federico Alderete Fernández-Omar Federico Alderete Fernández-Omar Federico Alderete Fernández-Chrisantus Ugonna Uche-Chrisantus Ugonna Uche,3946395,Getafe,Drawn,1,1,First half,1.1794370462825192,0.7627969224957157
Pressure-Foul Committed,Carles Aleña Castillo-Carles Aleña Castillo,3946395,Getafe,Drawn,1,1,First half,1.1794370462825192,0.7627969224957157
Clearance,Juan Antonio Iglesias Sánchez,3946395,Getafe,Drawn,1,1,First half,1.1794370462825192,0.7627969224957157
Duel,Álex Sola López Ocaña,3946395,Getafe,Drawn,1,1,First half,1.1794370462825192,0.7627969224957157
Duel,Juan Antonio Iglesias Sánchez,3946395,Getafe,Drawn,1,1,First half,1.1794370462825192,0.7627969224957157
Pressure,Juan Antonio Iglesias Sánchez,3946395,Getafe,Drawn,1,1,First half,1.1794370462825192,0.7627969224957157
Foul Won-Pass-Ball Receipt,Peter Federico Gonzalez Carmona-Luis Milla Manzanares-Omar Federico Alderete Fernández,3946395,Getafe,Drawn,1,1,First half,1.1794370462825192,0.7627969224957157
Duel-Pressure,Carles Aleña Castillo-Peter Federico Gonzalez Carmona,3946395,Getafe,Drawn,1,1,First half,1.1794370462825192,0.7627969224957157
