words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Abel Ruiz Ortega,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Pass,Iván Martín Núñez,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Arnau Martinez-Oriol Romeu Vidal-Oriol Romeu Vidal-David López Silva-David López Silva-David López Silva-Daley Blind-Daley Blind-Daley Blind-Iván Martín Núñez-Iván Martín Núñez,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Miscontrol-50/50,Bryan Gil Salvatierra-Bryan Gil Salvatierra,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Paulo Dino Gazzaniga-Paulo Dino Gazzaniga-Paulo Dino Gazzaniga-Daley Blind-Daley Blind-Daley Blind-Miguel Gutiérrez Ortega-Miguel Gutiérrez Ortega-Miguel Gutiérrez Ortega-Iván Martín Núñez-Iván Martín Núñez-Iván Martín Núñez-Arnau Martinez-Arnau Martinez-Arnau Martinez-Bryan Gil Salvatierra-Bryan Gil Salvatierra-Bryan Gil Salvatierra-Arnau Martinez-Arnau Martinez-Arnau Martinez-Oriol Romeu Vidal-Oriol Romeu Vidal-Oriol Romeu Vidal-Abel Ruiz Ortega-Abel Ruiz Ortega-Abel Ruiz Ortega-Bryan Gil Salvatierra-Bryan Gil Salvatierra-Bryan Gil Salvatierra-Iván Martín Núñez-Iván Martín Núñez-Iván Martín Núñez-David López Silva-David López Silva-David López Silva-Arnau Martinez-Arnau Martinez-Arnau Martinez-Bryan Gil Salvatierra-Bryan Gil Salvatierra-Bryan Gil Salvatierra-Arnau Martinez-Arnau Martinez-Arnau Martinez-Bryan Gil Salvatierra-Bryan Gil Salvatierra,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Pressure,Yangel Clemente Herrera Ravelo,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Block,Yangel Clemente Herrera Ravelo,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Pressure,Yangel Clemente Herrera Ravelo,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Dispossessed,Yangel Clemente Herrera Ravelo,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Pass-Ball Receipt-Carry,David López Silva-Yangel Clemente Herrera Ravelo-Yangel Clemente Herrera Ravelo,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Ball Recovery-Carry,David López Silva-David López Silva,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Shot-Ball Receipt,Abel Ruiz Ortega-Abel Ruiz Ortega,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Oriol Romeu Vidal-Arnau Martinez-Arnau Martinez-Arnau Martinez-Iván Martín Núñez-Iván Martín Núñez-Iván Martín Núñez-Yangel Clemente Herrera Ravelo-Yangel Clemente Herrera Ravelo,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Pass-Ball Receipt-Carry,Bryan Gil Salvatierra-Oriol Romeu Vidal-Oriol Romeu Vidal,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Daley Blind-Oriol Romeu Vidal-Oriol Romeu Vidal-Oriol Romeu Vidal-Bryan Gil Salvatierra-Bryan Gil Salvatierra,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Daley Blind-Oriol Romeu Vidal-Oriol Romeu Vidal-Oriol Romeu Vidal-Yangel Clemente Herrera Ravelo-Yangel Clemente Herrera Ravelo-Yangel Clemente Herrera Ravelo-Arnau Martinez-Arnau Martinez-Arnau Martinez-Oriol Romeu Vidal-Oriol Romeu Vidal-Oriol Romeu Vidal-Daley Blind-Daley Blind-Daley Blind-Abel Ruiz Ortega-Abel Ruiz Ortega-Abel Ruiz Ortega-Cristian Portugués Manzanera-Cristian Portugués Manzanera-Cristian Portugués Manzanera-Daley Blind-Daley Blind,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
Ball Receipt-Shot,Bryan Gil Salvatierra-Bryan Gil Salvatierra,3946396,Girona,Drawn,1,1,First half,1.2665988546368467,0.7824381685157356
