words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass,Aritz Arambarri Murua,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Miscontrol,Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Ball Receipt-Carry,Valentin Rosier-Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Juan Cruz Díaz Espósito-Seydouba Cisse-Seydouba Cisse-Seydouba Cisse-Yvan Neyou Noupa-Yvan Neyou Noupa-Yvan Neyou Noupa-Seydouba Cisse-Seydouba Cisse-Seydouba Cisse,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Darko Brašanac-Enric Franquesa Dolz-Enric Franquesa Dolz-Enric Franquesa Dolz-Seydouba Cisse-Seydouba Cisse-Seydouba Cisse-Valentin Rosier-Valentin Rosier-Valentin Rosier-Seydouba Cisse-Seydouba Cisse-Seydouba Cisse-Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Duel,Seydouba Cisse,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Block-Pass-Pressure,Yvan Neyou Noupa-Seydouba Cisse-Seydouba Cisse,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Javier Hernández Carrera,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Clearance-Pass,Javier Hernández Carrera-Enric Franquesa Dolz,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Yvan Neyou Noupa,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,Aritz Arambarri Murua-Darko Brašanac-Darko Brašanac-Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito-Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Duel,Sergio González Poirrier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Clearance,Yvan Neyou Noupa,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Goal Keeper-Clearance,Juan Soriano Oropesa-Yvan Neyou Noupa,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Duel,Aritz Arambarri Murua,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Darko Brašanac,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Aritz Arambarri Murua,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Dribble,Juan Cruz Díaz Espósito,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pass-Ball Receipt-Carry,Valentin Rosier-Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Sergio González Poirrier-Seydouba Cisse-Seydouba Cisse-Seydouba Cisse-Darko Brašanac-Darko Brašanac-Darko Brašanac-Valentin Rosier-Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure-Pressure,Darko Brašanac-Sergio González Poirrier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Clearance,Sergio González Poirrier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Miguel De la Fuente Escudero,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Darko Brašanac-Darko Brašanac-Darko Brašanac-Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito-Valentin Rosier-Valentin Rosier-Valentin Rosier-Miguel De la Fuente Escudero,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Ball Receipt-Carry-Pass,Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pass,Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pass-Ball Receipt,Juan Cruz Díaz Espósito-Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Block-Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,Aritz Arambarri Murua-Juan Soriano Oropesa-Sergio González Poirrier-Javier Hernández Carrera-Javier Hernández Carrera-Javier Hernández Carrera-Miguel De la Fuente Escudero-Miguel De la Fuente Escudero,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Block-Goal Keeper,Darko Brašanac-Juan Soriano Oropesa,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Darko Brašanac,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pass,Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Ball Receipt,Juan Cruz Díaz Espósito,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Interception-Carry,Daniel Raba Antolín-Daniel Raba Antolín,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Block-Pressure,Miguel De la Fuente Escudero-Miguel De la Fuente Escudero,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Seydouba Cisse,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pass-Ball Receipt-Carry-Miscontrol,Darko Brašanac-Daniel Raba Antolín-Daniel Raba Antolín-Daniel Raba Antolín,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pass-Ball Receipt-Carry,Seydouba Cisse-Darko Brašanac-Darko Brašanac,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pass-Ball Receipt-Carry,Valentin Rosier-Seydouba Cisse-Seydouba Cisse,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Duel-Carry,Valentin Rosier-Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Clearance,Sergio González Poirrier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Javier Hernández Carrera,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Enric Franquesa Dolz,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Block,Yvan Neyou Noupa,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Enric Franquesa Dolz,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Seydouba Cisse,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Duel-Pressure,Enric Franquesa Dolz-Enric Franquesa Dolz,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Interception-Pressure,Enric Franquesa Dolz-Enric Franquesa Dolz,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Goal Keeper-Pass,Juan Soriano Oropesa-Juan Soriano Oropesa,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Ball Receipt-Carry-Miscontrol,Miguel De la Fuente Escudero-Miguel De la Fuente Escudero-Miguel De la Fuente Escudero,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Substitution-Pass,Juan Cruz Díaz Espósito-Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Block-Pressure,Yvan Neyou Noupa-Yvan Neyou Noupa,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Darko Brašanac,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Goal Keeper-Pass,Juan Soriano Oropesa-Juan Soriano Oropesa,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Seydouba Cisse,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Seydouba Cisse,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Dispossessed,Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Duel-Carry,Valentin Rosier-Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Darko Brašanac,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Foul Won-Bad Behaviour-Pass-Ball Receipt,Juan Cruz Díaz Espósito-Juan Soriano Oropesa-Juan Soriano Oropesa-Miguel De la Fuente Escudero,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Sergio González Poirrier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Shot,Daniel Raba Antolín,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Javier Hernández Carrera,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pass,Valentin Rosier,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Enric Franquesa Dolz,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Clearance,Enric Franquesa Dolz,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Dispossessed,Darko Brašanac,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Ball Recovery-Carry,Darko Brašanac-Darko Brašanac,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Miguel De la Fuente Escudero,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Juan Cruz Díaz Espósito,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pass-Ball Receipt-Carry-Pass,Darko Brašanac-Aritz Arambarri Murua-Aritz Arambarri Murua-Aritz Arambarri Murua,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure-Ball Recovery-Carry-Pass-Ball Receipt-Carry,Valentin Rosier-Valentin Rosier-Valentin Rosier-Valentin Rosier-Darko Brašanac-Darko Brašanac,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure-Foul Committed,Darko Brašanac-Darko Brašanac,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Block-Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Yvan Neyou Noupa-Enric Franquesa Dolz-Enric Franquesa Dolz-Enric Franquesa Dolz-Javier Hernández Carrera-Javier Hernández Carrera-Enric Franquesa Dolz-Enric Franquesa Dolz-Enric Franquesa Dolz-Sergio González Poirrier-Sergio González Poirrier-Sergio González Poirrier-Aritz Arambarri Murua-Aritz Arambarri Murua-Aritz Arambarri Murua-Juan Soriano Oropesa-Juan Soriano Oropesa-Juan Soriano Oropesa-Miguel De la Fuente Escudero,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Yvan Neyou Noupa,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Block,Seydouba Cisse,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Duel-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito-Seydouba Cisse-Seydouba Cisse-Seydouba Cisse-Enric Franquesa Dolz-Enric Franquesa Dolz-Enric Franquesa Dolz,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Goal Keeper-Pass-Ball Receipt,Juan Soriano Oropesa-Juan Soriano Oropesa-Miguel De la Fuente Escudero,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
Pressure,Juan Cruz Díaz Espósito,3946399,Leganés,Drawn,1,1,First half,1.021387534109789,0.7979045952125716
