words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Pass-Ball Receipt-Duel,Moisés Gómez Bordonado-Alejandro Catena Marugán-Alejandro Catena Marugán-Lucas Torró Marset-Lucas Torró Marset,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Pressure,Abel Bretones Cruz,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Pressure,Abel Bretones Cruz,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Pressure,Abel Bretones Cruz,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Ball Receipt-Duel,Aimar Oroz-Aimar Oroz,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Pass,Lucas Torró Marset,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Pass,Rubén García Santos,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Pass-Ball Receipt-Carry,Jesús Areso Blanco-Rubén García Santos-Rubén García Santos,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Aimar Oroz-Jon Moncayola Tollar-Jon Moncayola Tollar-Jon Moncayola Tollar-Jesús Areso Blanco-Jesús Areso Blanco-Jesús Areso Blanco,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Interception-Carry-Pass-Ball Receipt-Carry,Moisés Gómez Bordonado-Moisés Gómez Bordonado-Moisés Gómez Bordonado-Aimar Oroz-Aimar Oroz,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Miscontrol,Ante Budimir,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Pass-Ball Receipt-Pass-Ball Receipt,Abel Bretones Cruz-Lucas Torró Marset-Lucas Torró Marset-Ante Budimir,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Block,Aimar Oroz,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Shot,Alejandro Catena Marugán,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Substitution-Substitution-Pass,Abel Bretones Cruz-Moisés Gómez Bordonado-Álvaro Juan Cruz Armada,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Pass-Ball Receipt,Moisés Gómez Bordonado-Alejandro Catena Marugán,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
Ball Receipt-Carry,Ante Budimir-Ante Budimir,3946399,Osasuna,Drawn,1,1,First half,1.1440659237978354,0.8060394434039975
