words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass,Randy Nteka-Óscar Valentín Martín Luengo-Óscar Valentín Martín Luengo-Óscar Valentín Martín Luengo,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Interception-Carry,Gerard Gumbau Garriga-Gerard Gumbau Garriga,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Sergio Camello Pérez,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pass-Ball Receipt,Isaac Palazón Camacho-Adrián Embarba Blázquez,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Interception-Pass-Ball Receipt-Carry,Florian Grégoire Claude Lejeune-Luis Alfonso Espino García-Isaac Palazón Camacho-Isaac Palazón Camacho,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Duel,Óscar Valentín Martín Luengo,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Foul Won-Pass-Ball Receipt-Carry-Pass,Sergio Camello Pérez-Khalid Abdul Mumin Suleman-Adrián Embarba Blázquez-Adrián Embarba Blázquez-Adrián Embarba Blázquez,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure-Pass-Ball Receipt-Carry,Gerard Gumbau Garriga-Óscar Valentín Martín Luengo-Sergio Camello Pérez-Sergio Camello Pérez,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Duel,Luis Alfonso Espino García,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Luis Alfonso Espino García,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Duel-50/50,Luis Alfonso Espino García-Adrián Embarba Blázquez,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Luis Alfonso Espino García,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Isaac Palazón Camacho,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Gerard Gumbau Garriga,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Isaac Palazón Camacho,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure-Foul Committed,Óscar Valentín Martín Luengo-Óscar Valentín Martín Luengo,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Sergio Camello Pérez,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pass-Ball Receipt-Substitution,Luis Alfonso Espino García-Randy Nteka-Randy Nteka,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Khalid Abdul Mumin Suleman-Khalid Abdul Mumin Suleman-Khalid Abdul Mumin Suleman-Luis Alfonso Espino García-Luis Alfonso Espino García,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pass,Luis Alfonso Espino García,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Ball Recovery-Shot,Luis Alfonso Espino García-Luis Alfonso Espino García,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Ball Receipt-Carry-Pass-Ball Receipt,Randy Nteka-Randy Nteka-Randy Nteka-Isaac Palazón Camacho,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pass,Andrei Florin Ratiu,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Ball Receipt,Jorge De Frutos Sebastián,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pass,Gerard Gumbau Garriga,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Block-Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt,Randy Nteka-Daniel Cárdenas Lindez-Daniel Cárdenas Lindez-Florian Grégoire Claude Lejeune-Florian Grégoire Claude Lejeune-Gerard Gumbau Garriga,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Clearance,Randy Nteka,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Interception,Luis Alfonso Espino García,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Shot,Gerard Gumbau Garriga,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Isaac Palazón Camacho,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Jorge De Frutos Sebastián,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Andrei Florin Ratiu-Florian Grégoire Claude Lejeune-Florian Grégoire Claude Lejeune-Khalid Abdul Mumin Suleman-Khalid Abdul Mumin Suleman,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Referee Ball-Drop-Pass-Ball Receipt-Carry-Pass,Unknown-Óscar Valentín Martín Luengo-Luis Alfonso Espino García-Luis Alfonso Espino García-Luis Alfonso Espino García,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Injury Stoppage,Sergio Camello Pérez,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Ball Receipt-Carry-Pass-Ball Receipt,Adrián Embarba Blázquez-Adrián Embarba Blázquez-Adrián Embarba Blázquez-Isaac Palazón Camacho,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pass,Khalid Abdul Mumin Suleman,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Duel,Isaac Palazón Camacho,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pass-Ball Receipt,Daniel Cárdenas Lindez-Isaac Palazón Camacho,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Shield,Khalid Abdul Mumin Suleman,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Clearance,Luis Alfonso Espino García,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Sergio Camello Pérez,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Interception-Carry-Pass-Ball Receipt,Luis Alfonso Espino García-Luis Alfonso Espino García-Luis Alfonso Espino García-Sergio Camello Pérez,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Gerard Gumbau Garriga,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Isaac Palazón Camacho,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Adrián Embarba Blázquez,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Jorge De Frutos Sebastián,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Clearance,Khalid Abdul Mumin Suleman,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Clearance-Pressure,Florian Grégoire Claude Lejeune-Isaac Palazón Camacho,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Block,Luis Alfonso Espino García,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Luis Alfonso Espino García,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Shot,Jorge De Frutos Sebastián,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Dribble-Carry,Jorge De Frutos Sebastián-Jorge De Frutos Sebastián,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Interception-Carry-Pass-Ball Receipt-Carry-Dribble-Carry,Khalid Abdul Mumin Suleman-Khalid Abdul Mumin Suleman-Khalid Abdul Mumin Suleman-Jorge De Frutos Sebastián-Jorge De Frutos Sebastián-Jorge De Frutos Sebastián-Jorge De Frutos Sebastián,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pass-Ball Receipt,Florian Grégoire Claude Lejeune-Óscar Valentín Martín Luengo,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pass,Adrián Embarba Blázquez,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pass-Ball Receipt-Carry,Luis Alfonso Espino García-Adrián Embarba Blázquez-Adrián Embarba Blázquez,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Dispossessed,Isaac Palazón Camacho,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Adrián Embarba Blázquez-Luis Alfonso Espino García-Luis Alfonso Espino García-Luis Alfonso Espino García-Isaac Palazón Camacho-Isaac Palazón Camacho,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pass-Ball Receipt-Carry,Khalid Abdul Mumin Suleman-Adrián Embarba Blázquez-Adrián Embarba Blázquez,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Duel-Pressure,Jorge De Frutos Sebastián-Jorge De Frutos Sebastián,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Ball Receipt-Carry-Miscontrol,Isaac Palazón Camacho-Isaac Palazón Camacho-Isaac Palazón Camacho,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Gerard Gumbau Garriga,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Gerard Gumbau Garriga,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Duel,Luis Alfonso Espino García,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Luis Alfonso Espino García,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
Pressure,Gerard Gumbau Garriga,3946401,Rayo Vallecano,Won,2,1,First half,1.6874736318091714,0.7172729506698748
