words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Aitor Ruibal García-Nabil Fekir-Nabil Fekir-Nabil Fekir-Romain Perraud-Romain Perraud-Romain Perraud-Diego Javier Llorente Ríos-Diego Javier Llorente Ríos-Diego Javier Llorente Ríos-Marc Bartra Aregall-Marc Bartra Aregall-Marc Bartra Aregall-Diego Javier Llorente Ríos-Diego Javier Llorente Ríos-Diego Javier Llorente Ríos-Marc Bartra Aregall-Marc Bartra Aregall-Marc Bartra Aregall-Rui Tiago Dantas da Silva-Rui Tiago Dantas da Silva-Rui Tiago Dantas da Silva-Diego Javier Llorente Ríos-Diego Javier Llorente Ríos-Diego Javier Llorente Ríos-Marc Bartra Aregall-Marc Bartra Aregall,3946396,Real Betis,Drawn,1,1,First half,1.576292919837579,0.7155425251213678
Pressure,William Silva de Carvalho,3946396,Real Betis,Drawn,1,1,First half,1.576292919837579,0.7155425251213678
50/50,Abdessamad Ezzalzouli,3946396,Real Betis,Drawn,1,1,First half,1.576292919837579,0.7155425251213678
Pressure,Abdessamad Ezzalzouli,3946396,Real Betis,Drawn,1,1,First half,1.576292919837579,0.7155425251213678
Pass-Ball Receipt,Youssouf Sabaly-Aitor Ruibal García,3946396,Real Betis,Drawn,1,1,First half,1.576292919837579,0.7155425251213678
Block-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Aitor Ruibal García-Aitor Ruibal García-William Silva de Carvalho-William Silva de Carvalho-William Silva de Carvalho-Youssouf Sabaly-Youssouf Sabaly-Youssouf Sabaly-Rodrigo Sánchez Rodriguez-Rodrigo Sánchez Rodriguez-Rodrigo Sánchez Rodriguez-Nabil Fekir-Nabil Fekir-Nabil Fekir-Youssouf Sabaly-Youssouf Sabaly,3946396,Real Betis,Drawn,1,1,First half,1.576292919837579,0.7155425251213678
Pass-Ball Receipt,Aitor Ruibal García-Abdessamad Ezzalzouli,3946396,Real Betis,Drawn,1,1,First half,1.576292919837579,0.7155425251213678
Duel,Abdessamad Ezzalzouli,3946396,Real Betis,Drawn,1,1,First half,1.576292919837579,0.7155425251213678
Pressure,Abdessamad Ezzalzouli,3946396,Real Betis,Drawn,1,1,First half,1.576292919837579,0.7155425251213678
Pressure,Aitor Ruibal García,3946396,Real Betis,Drawn,1,1,First half,1.576292919837579,0.7155425251213678
