words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass,Daniel Carvajal Ramos,3946402,Real Madrid,Drawn,1,1,First half,1.1046379651913285,0.8113083958696697
Pressure,Antonio Rüdiger,3946402,Real Madrid,Drawn,1,1,First half,1.1046379651913285,0.8113083958696697
Pressure,Federico Santiago Valverde Dipetta,3946402,Real Madrid,Drawn,1,1,First half,1.1046379651913285,0.8113083958696697
Pass-Ball Receipt,Kylian Mbappé Lottin-Federico Santiago Valverde Dipetta,3946402,Real Madrid,Drawn,1,1,First half,1.1046379651913285,0.8113083958696697
Dribble-Carry,Kylian Mbappé Lottin-Kylian Mbappé Lottin,3946402,Real Madrid,Drawn,1,1,First half,1.1046379651913285,0.8113083958696697
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Vinícius José Paixão de Oliveira Júnior-Ferland Mendy-Ferland Mendy-Ferland Mendy-Aurélien Djani Tchouaméni-Aurélien Djani Tchouaméni-Aurélien Djani Tchouaméni-Jude Bellingham-Jude Bellingham-Jude Bellingham-Vinícius José Paixão de Oliveira Júnior-Vinícius José Paixão de Oliveira Júnior-Vinícius José Paixão de Oliveira Júnior-Jude Bellingham-Jude Bellingham-Jude Bellingham-Rodrygo Silva de Goes-Rodrygo Silva de Goes-Rodrygo Silva de Goes-Jude Bellingham-Jude Bellingham-Rodrygo Silva de Goes-Rodrygo Silva de Goes-Rodrygo Silva de Goes-Ferland Mendy-Ferland Mendy-Ferland Mendy-Vinícius José Paixão de Oliveira Júnior-Vinícius José Paixão de Oliveira Júnior-Vinícius José Paixão de Oliveira Júnior-Kylian Mbappé Lottin-Kylian Mbappé Lottin,3946402,Real Madrid,Drawn,1,1,First half,1.1046379651913285,0.8113083958696697
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Rodrygo Silva de Goes-Jude Bellingham-Jude Bellingham-Jude Bellingham-Vinícius José Paixão de Oliveira Júnior,3946402,Real Madrid,Drawn,1,1,First half,1.1046379651913285,0.8113083958696697
Clearance-Pass-Ball Receipt,Éder Gabriel Militão-Jude Bellingham-Rodrygo Silva de Goes,3946402,Real Madrid,Drawn,1,1,First half,1.1046379651913285,0.8113083958696697
Dribbled Past,Antonio Rüdiger,3946402,Real Madrid,Drawn,1,1,First half,1.1046379651913285,0.8113083958696697
Pressure,Antonio Rüdiger,3946402,Real Madrid,Drawn,1,1,First half,1.1046379651913285,0.8113083958696697
