words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass,Eray Ervin Cömert-Javier Sánchez de Felipe-Javier Sánchez de Felipe-Javier Sánchez de Felipe,3946403,Real Valladolid,Won,1,0,First half,1.217040560221326,0.7928349849466302
Clearance,Luis Jesús Pérez Maqueda,3946403,Real Valladolid,Won,1,0,First half,1.217040560221326,0.7928349849466302
Clearance,Eray Ervin Cömert,3946403,Real Valladolid,Won,1,0,First half,1.217040560221326,0.7928349849466302
Foul Won-Substitution-Tactical Shift-Pass-Ball Receipt-Shot,Enrique Pérez Muñoz-Javier Sánchez de Felipe-Unknown-Enrique Pérez Muñoz-Mamadou Sylla Diallo-Mamadou Sylla Diallo,3946403,Real Valladolid,Won,1,0,First half,1.217040560221326,0.7928349849466302
Ball Receipt-Carry,Enrique Pérez Muñoz-Enrique Pérez Muñoz,3946403,Real Valladolid,Won,1,0,First half,1.217040560221326,0.7928349849466302
Pass-Ball Receipt-Carry-Pass,Lucas Oliveira Rosa-Selim Amallah-Selim Amallah-Selim Amallah,3946403,Real Valladolid,Won,1,0,First half,1.217040560221326,0.7928349849466302
Pass,Raul Moro Prescoli,3946403,Real Valladolid,Won,1,0,First half,1.217040560221326,0.7928349849466302
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,Lucas Oliveira Rosa-Raul Moro Prescoli-Raul Moro Prescoli-Raul Moro Prescoli-Amath Ndiaye-Amath Ndiaye-Amath Ndiaye-Enrique Pérez Muñoz-Enrique Pérez Muñoz,3946403,Real Valladolid,Won,1,0,First half,1.217040560221326,0.7928349849466302
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Mamadou Sylla Diallo-Mamadou Sylla Diallo-Mamadou Sylla Diallo-Lucas Oliveira Rosa-Lucas Oliveira Rosa-Lucas Oliveira Rosa-Enrique Pérez Muñoz-Enrique Pérez Muñoz-Enrique Pérez Muñoz-Raul Moro Prescoli-Raul Moro Prescoli-Selim Amallah-Selim Amallah-Raul Moro Prescoli-Raul Moro Prescoli-Raul Moro Prescoli-Mamadou Sylla Diallo-Mamadou Sylla Diallo-Mamadou Sylla Diallo-Amath Ndiaye,3946403,Real Valladolid,Won,1,0,First half,1.217040560221326,0.7928349849466302
Clearance,Selim Amallah,3946403,Real Valladolid,Won,1,0,First half,1.217040560221326,0.7928349849466302
Clearance,Luis Jesús Pérez Maqueda,3946403,Real Valladolid,Won,1,0,First half,1.217040560221326,0.7928349849466302
Pressure,Selim Amallah,3946403,Real Valladolid,Won,1,0,First half,1.217040560221326,0.7928349849466302
Ball Receipt-Carry-Dispossessed,Selim Amallah-Selim Amallah-Selim Amallah,3946403,Real Valladolid,Won,1,0,First half,1.217040560221326,0.7928349849466302
Pass,Flavien-Enzo Boyomo,3946403,Real Valladolid,Won,1,0,First half,1.217040560221326,0.7928349849466302
