words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Isaac Romero Bernal-Nemanja Gudelj-Nemanja Gudelj-Juan Luis Sánchez Velasco-Juan Luis Sánchez Velasco-Lucien Agoume-Lucien Agoume-Lucien Agoume-Nianzou Tanguy Kouassi-Nianzou Tanguy Kouassi-Nianzou Tanguy Kouassi-Adrià Giner Pedrosa-Adrià Giner Pedrosa-Adrià Giner Pedrosa,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Ball Receipt,Lucas Ariel Ocampos,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pressure,Adrià Giner Pedrosa,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Duel,Nemanja Gudelj,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Block,Nemanja Gudelj,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pressure,Nemanja Gudelj,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pressure,Lucas Ariel Ocampos,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pressure,Lucien Agoume,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pressure,Nemanja Gudelj,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Goal Keeper-Clearance,Ørjan Håskjold Nyland-Dodi Lukebakio,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pressure-Pressure,Juan Luis Sánchez Velasco-José Ángel Carmona Navarro,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Ørjan Håskjold Nyland-Ørjan Håskjold Nyland-Nemanja Gudelj-Nemanja Gudelj-Nemanja Gudelj-Ørjan Håskjold Nyland-Ørjan Håskjold Nyland,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pass-Ball Receipt-Carry-Pass,Ørjan Håskjold Nyland-Nianzou Tanguy Kouassi-Nianzou Tanguy Kouassi-Nianzou Tanguy Kouassi,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Ball Receipt-Carry,José Ángel Carmona Navarro-José Ángel Carmona Navarro,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,José Ángel Carmona Navarro-José Ángel Carmona Navarro-Nemanja Gudelj-Nemanja Gudelj-Lucien Agoume-Lucien Agoume-Lucien Agoume-José Ángel Carmona Navarro-José Ángel Carmona Navarro-José Ángel Carmona Navarro-Dodi Lukebakio-Dodi Lukebakio-Dodi Lukebakio-Lucien Agoume-Lucien Agoume-Lucien Agoume,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pressure,Djibril Sow,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pass,Ørjan Håskjold Nyland,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Foul Committed,Djibril Sow,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Goal Keeper-Pass-Ball Receipt,Ørjan Håskjold Nyland-Nemanja Gudelj-Ørjan Håskjold Nyland,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Clearance,Nemanja Gudelj,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pass,José Ángel Carmona Navarro,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Ball Receipt-Carry-Miscontrol-Pressure,Dodi Lukebakio-Dodi Lukebakio-Dodi Lukebakio-Dodi Lukebakio,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Ball Recovery-Pass,Lucien Agoume-Juan Luis Sánchez Velasco,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Ball Recovery-Pressure,Juan Luis Sánchez Velasco-Juan Luis Sánchez Velasco,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pressure,Nemanja Gudelj,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Ball Recovery-Carry,José Ángel Carmona Navarro-José Ángel Carmona Navarro,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pass-Ball Receipt-Carry,José Ángel Carmona Navarro-Nianzou Tanguy Kouassi-Nianzou Tanguy Kouassi,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pass,Nianzou Tanguy Kouassi,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Ball Receipt-Carry-Dispossessed,Dodi Lukebakio-Dodi Lukebakio-Dodi Lukebakio,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Clearance,José Ángel Carmona Navarro,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pressure,Dodi Lukebakio,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
Pressure,Lucien Agoume,3946397,Sevilla,Drawn,2,2,First half,1.6975135843453024,0.7057836238414429
