words,match_id,team_name,outcome
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3946427,Athletic Club,Lost
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Miscontrol,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Interception-Ball Recovery-Shot,3946427,Athletic Club,Lost
Clearance,3946427,Athletic Club,Lost
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Duel,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Dribbled Past-Pressure-Foul Committed,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Block,3946427,Athletic Club,Lost
Ball Recovery-Carry-Pass,3946427,Athletic Club,Lost
Ball Recovery-Carry-Pass,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Shield-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt,3946427,Athletic Club,Lost
Ball Recovery-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Block,3946427,Athletic Club,Lost
Pass-Ball Receipt,3946427,Athletic Club,Lost
Clearance,3946427,Athletic Club,Lost
Pass-Ball Receipt-Pass-Ball Receipt,3946427,Athletic Club,Lost
Pass-Ball Receipt,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Dribbled Past-Duel,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Dribble,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Block,3946427,Athletic Club,Lost
Dribbled Past,3946427,Athletic Club,Lost
Pass,3946427,Athletic Club,Lost
Ball Receipt-Carry-Pass-Ball Receipt,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Block-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946427,Athletic Club,Lost
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Dribble,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946427,Athletic Club,Lost
Ball Receipt-Carry-Dispossessed,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Dribble,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946427,Athletic Club,Lost
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
