words,match_id,team_name,outcome,goals_scored,goals_conceded
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry-Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Block,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Ball Recovery-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure-Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Block-Foul Committed-Pressure,3946440,Athletic Club,Won,3,2
Dribbled Past-50/50,3946440,Athletic Club,Won,3,2
Pressure-50/50,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Ball Recovery-Carry-Dribble-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Shot,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Clearance,3946440,Athletic Club,Won,3,2
Clearance,3946440,Athletic Club,Won,3,2
Goal Keeper-Pressure,3946440,Athletic Club,Won,3,2
Goal Keeper,3946440,Athletic Club,Won,3,2
Pass-Pressure-Ball Receipt,3946440,Athletic Club,Won,3,2
Duel-Carry-Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Duel,3946440,Athletic Club,Won,3,2
Foul Committed,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry-Shot,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Block,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Pass,3946440,Athletic Club,Won,3,2
Ball Receipt,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Duel,3946440,Athletic Club,Won,3,2
Pass-Pressure-Ball Receipt,3946440,Athletic Club,Won,3,2
Pressure-Injury Stoppage,3946440,Athletic Club,Won,3,2
Referee Ball-Drop,3946440,Athletic Club,Won,3,2
Ball Recovery-Carry,3946440,Athletic Club,Won,3,2
Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry-Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Block-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry-Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Dribble-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Dispossessed,3946440,Athletic Club,Won,3,2
Block,3946440,Athletic Club,Won,3,2
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Dispossessed,3946440,Athletic Club,Won,3,2
Pressure-Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure-Foul Committed,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Ball Recovery-Carry,3946440,Athletic Club,Won,3,2
Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry-Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Dispossessed,3946440,Athletic Club,Won,3,2
Ball Recovery-Carry-Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pressure-Foul Committed,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Miscontrol-Duel,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Block,3946440,Athletic Club,Won,3,2
Goal Keeper-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Ball Recovery-Carry-Dribble-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Duel-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry-Dribble-Carry,3946440,Athletic Club,Won,3,2
Shot,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Duel,3946440,Athletic Club,Won,3,2
Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry-Pass-Ball Receipt,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry-Pass,3946440,Athletic Club,Won,3,2
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Pass-Ball Receipt-Carry,3946440,Athletic Club,Won,3,2
Miscontrol,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
Pressure,3946440,Athletic Club,Won,3,2
