words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Dispossessed,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Shot,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Dribbled Past-Pressure,3946445,Athletic Club,Won,3,1,First half
Block-Ball Recovery-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Shot,3946445,Athletic Club,Won,3,1,First half
Ball Recovery-Shot,3946445,Athletic Club,Won,3,1,First half
Pressure-Foul Committed,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Foul Won-Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Goal Keeper-Pass-Ball Receipt-Pass,3946445,Athletic Club,Won,3,1,First half
Pressure-Ball Receipt,3946445,Athletic Club,Won,3,1,First half
Foul Committed,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Dispossessed,3946445,Athletic Club,Won,3,1,First half
Block-Goal Keeper,3946445,Athletic Club,Won,3,1,First half
Clearance,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Pass-Ball Receipt-Miscontrol,3946445,Athletic Club,Won,3,1,First half
Ball Recovery,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Pass,3946445,Athletic Club,Won,3,1,First half
Pressure-Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure-Pressure,3946445,Athletic Club,Won,3,1,First half
Dribbled Past,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Pass,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,3946445,Athletic Club,Won,3,1,First half
50/50,3946445,Athletic Club,Won,3,1,First half
Pressure-Pressure-Foul Committed,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Foul Committed,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Ball Recovery-Carry,3946445,Athletic Club,Won,3,1,First half
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946445,Athletic Club,Won,3,1,First half
Pass,3946445,Athletic Club,Won,3,1,First half
Ball Receipt-Carry-Miscontrol,3946445,Athletic Club,Won,3,1,First half
Clearance,3946445,Athletic Club,Won,3,1,First half
Duel,3946445,Athletic Club,Won,3,1,First half
Interception-Carry-Pass,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Pressure,3946445,Athletic Club,Won,3,1,First half
Foul Committed,3946445,Athletic Club,Won,3,1,First half
Clearance,3946445,Athletic Club,Won,3,1,First half
