words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Álvaro Djaló Dias Fernandes,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass,Daniel Vivian Moreno,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Oihan Sancet Tirapu-Oihan Sancet Tirapu-Oihan Sancet Tirapu-Iñaki Williams Arthuer-Iñaki Williams Arthuer,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Foul Won-Pass-Ball Receipt-Duel,Iñaki Williams Arthuer-Iñigo Ruiz de Galarreta Etxeberria-Aitor Paredes Casamichana-Aitor Paredes Casamichana,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry-Pass,Óscar de Marcos Arana-Álvaro Djaló Dias Fernandes-Álvaro Djaló Dias Fernandes-Álvaro Djaló Dias Fernandes,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Miscontrol-Pressure,Óscar de Marcos Arana-Oihan Sancet Tirapu-Oihan Sancet Tirapu-Oihan Sancet Tirapu,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Foul Won-Pass-Ball Receipt-Carry,Yuri Berchiche Izeta-Yuri Berchiche Izeta-Óscar de Marcos Arana-Óscar de Marcos Arana,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry,Óscar de Marcos Arana-Iñaki Williams Arthuer-Iñaki Williams Arthuer,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry-Pass,Iñaki Williams Arthuer-Beñat Prados Díaz-Beñat Prados Díaz-Beñat Prados Díaz,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Iñaki Williams Arthuer-Iñaki Williams Arthuer-Iñaki Williams Arthuer-Daniel Vivian Moreno-Daniel Vivian Moreno-Daniel Vivian Moreno-Óscar de Marcos Arana-Óscar de Marcos Arana-Óscar de Marcos Arana-Oihan Sancet Tirapu-Oihan Sancet Tirapu-Oihan Sancet Tirapu-Óscar de Marcos Arana-Óscar de Marcos Arana-Óscar de Marcos Arana-Daniel Vivian Moreno-Daniel Vivian Moreno-Daniel Vivian Moreno-Yuri Berchiche Izeta-Yuri Berchiche Izeta-Yuri Berchiche Izeta-Beñat Prados Díaz-Beñat Prados Díaz,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass,Beñat Prados Díaz,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Yuri Berchiche Izeta-Yuri Berchiche Izeta-Yuri Berchiche Izeta-Aitor Paredes Casamichana-Aitor Paredes Casamichana-Aitor Paredes Casamichana-Daniel Vivian Moreno-Daniel Vivian Moreno-Daniel Vivian Moreno-Óscar de Marcos Arana-Óscar de Marcos Arana-Óscar de Marcos Arana-Oihan Sancet Tirapu,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pressure,Óscar de Marcos Arana,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pressure,Oihan Sancet Tirapu,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Interception-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Daniel Vivian Moreno-Óscar de Marcos Arana-Oihan Sancet Tirapu-Oihan Sancet Tirapu-Oihan Sancet Tirapu-Iñigo Ruiz de Galarreta Etxeberria-Iñigo Ruiz de Galarreta Etxeberria,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry,Iñigo Ruiz de Galarreta Etxeberria-Daniel Vivian Moreno-Daniel Vivian Moreno,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Daniel Vivian Moreno-Óscar de Marcos Arana-Óscar de Marcos Arana-Óscar de Marcos Arana-Iñigo Ruiz de Galarreta Etxeberria-Iñigo Ruiz de Galarreta Etxeberria,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Dispossessed,Iñigo Ruiz de Galarreta Etxeberria,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pressure-Pressure,Iñigo Ruiz de Galarreta Etxeberria-Daniel Vivian Moreno,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Interception-Carry-Pass-Ball Receipt-Carry,Beñat Prados Díaz-Beñat Prados Díaz-Beñat Prados Díaz-Oihan Sancet Tirapu-Oihan Sancet Tirapu,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Oihan Sancet Tirapu-Iñaki Williams Arthuer-Iñaki Williams Arthuer-Iñaki Williams Arthuer-Álvaro Djaló Dias Fernandes,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pressure,Iñaki Williams Arthuer,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt,Óscar de Marcos Arana-Álvaro Djaló Dias Fernandes,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pressure,Beñat Prados Díaz,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Óscar de Marcos Arana-Daniel Vivian Moreno-Daniel Vivian Moreno-Aitor Paredes Casamichana-Aitor Paredes Casamichana-Aitor Paredes Casamichana-Yuri Berchiche Izeta-Yuri Berchiche Izeta-Yuri Berchiche Izeta-Álvaro Djaló Dias Fernandes,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pressure,Álvaro Djaló Dias Fernandes,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Duel,Yuri Berchiche Izeta,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt,Beñat Prados Díaz-Aitor Paredes Casamichana,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Aitor Paredes Casamichana-Aitor Paredes Casamichana-Aitor Paredes Casamichana-Yuri Berchiche Izeta-Yuri Berchiche Izeta,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt,Yuri Berchiche Izeta-Beñat Prados Díaz,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry,Yuri Berchiche Izeta-Beñat Prados Díaz-Beñat Prados Díaz,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry,Beñat Prados Díaz-Aitor Paredes Casamichana-Aitor Paredes Casamichana,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Aitor Paredes Casamichana-Julen Agirrezabala Astúlez-Julen Agirrezabala Astúlez-Julen Agirrezabala Astúlez-Daniel Vivian Moreno-Daniel Vivian Moreno-Daniel Vivian Moreno-Óscar de Marcos Arana-Óscar de Marcos Arana-Óscar de Marcos Arana-Iñaki Williams Arthuer-Iñaki Williams Arthuer-Iñaki Williams Arthuer,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nicholas Williams Arthuer-Nicholas Williams Arthuer-Nicholas Williams Arthuer-Iñaki Williams Arthuer-Iñaki Williams Arthuer-Iñaki Williams Arthuer-Álvaro Djaló Dias Fernandes-Álvaro Djaló Dias Fernandes,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Dribble-Carry,Álvaro Djaló Dias Fernandes-Álvaro Djaló Dias Fernandes,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt,Álvaro Djaló Dias Fernandes-Nicholas Williams Arthuer,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Pressure-Ball Receipt,Beñat Prados Díaz-Oihan Sancet Tirapu-Oihan Sancet Tirapu,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pressure,Nicholas Williams Arthuer,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Dribbled Past,Nicholas Williams Arthuer,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry,Daniel Vivian Moreno-Beñat Prados Díaz-Beñat Prados Díaz,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Beñat Prados Díaz-Daniel Vivian Moreno-Daniel Vivian Moreno-Daniel Vivian Moreno-Óscar de Marcos Arana-Óscar de Marcos Arana-Óscar de Marcos Arana-Julen Agirrezabala Astúlez-Julen Agirrezabala Astúlez,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt,Julen Agirrezabala Astúlez-Beñat Prados Díaz,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt,Óscar de Marcos Arana-Daniel Vivian Moreno,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Daniel Vivian Moreno-Beñat Prados Díaz-Beñat Prados Díaz-Beñat Prados Díaz-Álvaro Djaló Dias Fernandes,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pressure,Nicholas Williams Arthuer,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Óscar de Marcos Arana-Óscar de Marcos Arana-Óscar de Marcos Arana-Aitor Paredes Casamichana-Aitor Paredes Casamichana-Aitor Paredes Casamichana-Iñigo Ruiz de Galarreta Etxeberria-Iñigo Ruiz de Galarreta Etxeberria-Iñigo Ruiz de Galarreta Etxeberria-Yuri Berchiche Izeta,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,Aitor Paredes Casamichana-Aitor Paredes Casamichana-Aitor Paredes Casamichana-Julen Agirrezabala Astúlez-Julen Agirrezabala Astúlez-Julen Agirrezabala Astúlez,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Iñaki Williams Arthuer-Iñaki Williams Arthuer-Iñaki Williams Arthuer-Oihan Sancet Tirapu-Oihan Sancet Tirapu,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Dispossessed,Oihan Sancet Tirapu,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pressure,Beñat Prados Díaz,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry,Iñaki Williams Arthuer-Beñat Prados Díaz-Beñat Prados Díaz,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry,Beñat Prados Díaz-Iñaki Williams Arthuer-Iñaki Williams Arthuer,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt-Carry-Pass,Iñaki Williams Arthuer-Aitor Paredes Casamichana-Aitor Paredes Casamichana-Aitor Paredes Casamichana,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Ball Receipt-Carry,Álvaro Djaló Dias Fernandes-Álvaro Djaló Dias Fernandes,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Dispossessed,Álvaro Djaló Dias Fernandes,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Iñigo Ruiz de Galarreta Etxeberria-Iñigo Ruiz de Galarreta Etxeberria-Iñigo Ruiz de Galarreta Etxeberria-Beñat Prados Díaz-Beñat Prados Díaz-Beñat Prados Díaz-Álvaro Djaló Dias Fernandes,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Tactical Shift-Pass-Ball Receipt-Carry,Unknown-Óscar de Marcos Arana-Nicholas Williams Arthuer-Nicholas Williams Arthuer,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pass-Ball Receipt,Nicholas Williams Arthuer-Óscar de Marcos Arana,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
50/50,Óscar de Marcos Arana,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
Pressure,Nicholas Williams Arthuer,3946505,Athletic Club,Drawn,1,1,First half,1.5187113333773106,0.7424792759318568
