words,match_id,team_name,outcome,goals_scored,goals_conceded
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Miscontrol,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Ball Recovery-Carry,3946626,Barcelona,Won,1,0
Dispossessed,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Block,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Ball Recovery-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Block-Ball Recovery-Carry-Miscontrol,3946626,Barcelona,Won,1,0
Interception-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Shot,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Miscontrol-Pressure,3946626,Barcelona,Won,1,0
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Duel,3946626,Barcelona,Won,1,0
Ball Recovery-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Duel-Pressure,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Dribble-Carry,3946626,Barcelona,Won,1,0
Dribble-Carry,3946626,Barcelona,Won,1,0
Miscontrol-Pressure,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Ball Recovery,3946626,Barcelona,Won,1,0
Shot,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Duel-Pressure,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Duel,3946626,Barcelona,Won,1,0
