words,match_id,team_name,outcome,goals_scored,goals_conceded
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,3946406,Celta Vigo,Won,3,1
Ball Recovery-Carry,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Carry-Pass,3946406,Celta Vigo,Won,3,1
Ball Receipt-Carry-Miscontrol-Pressure,3946406,Celta Vigo,Won,3,1
Interception-Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pass-Pressure,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946406,Celta Vigo,Won,3,1
Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Pass,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Carry-Pass,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pressure,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946406,Celta Vigo,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946406,Celta Vigo,Won,3,1
