words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Duel,3946507,Celta Vigo,Won,1,0,First half
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946507,Celta Vigo,Won,1,0,First half
Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Pass-Ball Receipt-Duel,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Pass,3946507,Celta Vigo,Won,1,0,First half
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Dribbled Past,3946507,Celta Vigo,Won,1,0,First half
Ball Recovery-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946507,Celta Vigo,Won,1,0,First half
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Miscontrol,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pass,3946507,Celta Vigo,Won,1,0,First half
Pressure-Pressure,3946507,Celta Vigo,Won,1,0,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,3946507,Celta Vigo,Won,1,0,First half
Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Clearance,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pass,3946507,Celta Vigo,Won,1,0,First half
Pressure-Pressure,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Pass-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Pass,3946507,Celta Vigo,Won,1,0,First half
Ball Receipt-Carry-Dispossessed,3946507,Celta Vigo,Won,1,0,First half
Pressure-Pressure,3946507,Celta Vigo,Won,1,0,First half
Interception-Ball Recovery-Carry-Pass,3946507,Celta Vigo,Won,1,0,First half
Ball Receipt-Carry-Pass-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Ball Recovery-Carry,3946507,Celta Vigo,Won,1,0,First half
Dribble-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Pass-Pressure-Pressure-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Dribbled Past,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass,3946507,Celta Vigo,Won,1,0,First half
Interception-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass,3946507,Celta Vigo,Won,1,0,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Block-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Ball Recovery-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Shot-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Foul Won-Pass-Ball Receipt-Pass,3946507,Celta Vigo,Won,1,0,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass,3946507,Celta Vigo,Won,1,0,First half
Ball Receipt-Carry-Pass,3946507,Celta Vigo,Won,1,0,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946507,Celta Vigo,Won,1,0,First half
Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Duel,3946507,Celta Vigo,Won,1,0,First half
Pressure-50/50,3946507,Celta Vigo,Won,1,0,First half
Dribbled Past,3946507,Celta Vigo,Won,1,0,First half
Foul Committed,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Block-Goal Keeper,3946507,Celta Vigo,Won,1,0,First half
Clearance,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Pass,3946507,Celta Vigo,Won,1,0,First half
Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Ball Recovery,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Foul Committed,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pass-Ball Receipt-Carry-Miscontrol,3946507,Celta Vigo,Won,1,0,First half
Interception-Ball Recovery-Carry-Pass,3946507,Celta Vigo,Won,1,0,First half
Block,3946507,Celta Vigo,Won,1,0,First half
Block,3946507,Celta Vigo,Won,1,0,First half
Block,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Pressure,3946507,Celta Vigo,Won,1,0,First half
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946507,Celta Vigo,Won,1,0,First half
Ball Recovery-Pass-Ball Receipt-Carry-Miscontrol,3946507,Celta Vigo,Won,1,0,First half
