words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pressure,3946770,Las Palmas,Lost,0,2,Second half
Foul Committed,3946770,Las Palmas,Lost,0,2,Second half
Clearance-Pass-Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Dispossessed,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt-Duel,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt-Carry-Miscontrol-Pressure,3946770,Las Palmas,Lost,0,2,Second half
Pass,3946770,Las Palmas,Lost,0,2,Second half
Ball Receipt-Carry-Dispossessed,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt,3946770,Las Palmas,Lost,0,2,Second half
Pressure,3946770,Las Palmas,Lost,0,2,Second half
Pressure,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt,3946770,Las Palmas,Lost,0,2,Second half
Pass,3946770,Las Palmas,Lost,0,2,Second half
Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Dispossessed,3946770,Las Palmas,Lost,0,2,Second half
Pressure,3946770,Las Palmas,Lost,0,2,Second half
Pressure,3946770,Las Palmas,Lost,0,2,Second half
Foul Won-Pass-Ball Receipt,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt-Carry-Pass,3946770,Las Palmas,Lost,0,2,Second half
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Miscontrol,3946770,Las Palmas,Lost,0,2,Second half
Pressure,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt,3946770,Las Palmas,Lost,0,2,Second half
Pressure,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt-Miscontrol-Pressure,3946770,Las Palmas,Lost,0,2,Second half
Pressure-Pressure,3946770,Las Palmas,Lost,0,2,Second half
Clearance-Clearance,3946770,Las Palmas,Lost,0,2,Second half
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Pass,3946770,Las Palmas,Lost,0,2,Second half
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Dispossessed,3946770,Las Palmas,Lost,0,2,Second half
Pressure,3946770,Las Palmas,Lost,0,2,Second half
Duel,3946770,Las Palmas,Lost,0,2,Second half
Clearance,3946770,Las Palmas,Lost,0,2,Second half
Pressure,3946770,Las Palmas,Lost,0,2,Second half
Pass,3946770,Las Palmas,Lost,0,2,Second half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946770,Las Palmas,Lost,0,2,Second half
Pass,3946770,Las Palmas,Lost,0,2,Second half
Pressure,3946770,Las Palmas,Lost,0,2,Second half
Duel,3946770,Las Palmas,Lost,0,2,Second half
Ball Recovery-Carry-Dribble-Carry,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt-Miscontrol-Pressure,3946770,Las Palmas,Lost,0,2,Second half
Foul Committed,3946770,Las Palmas,Lost,0,2,Second half
Clearance,3946770,Las Palmas,Lost,0,2,Second half
Duel,3946770,Las Palmas,Lost,0,2,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Pass,3946770,Las Palmas,Lost,0,2,Second half
Ball Receipt-Miscontrol-Foul Committed,3946770,Las Palmas,Lost,0,2,Second half
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3946770,Las Palmas,Lost,0,2,Second half
Ball Receipt-Carry-Pass-Ball Receipt,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946770,Las Palmas,Lost,0,2,Second half
Interception,3946770,Las Palmas,Lost,0,2,Second half
Pressure,3946770,Las Palmas,Lost,0,2,Second half
Pass,3946770,Las Palmas,Lost,0,2,Second half
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946770,Las Palmas,Lost,0,2,Second half
Pass,3946770,Las Palmas,Lost,0,2,Second half
