words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,3946712,Villarreal,Drawn,2,2,Second half
Pass,3946712,Villarreal,Drawn,2,2,Second half
Ball Receipt-Carry-Pass,3946712,Villarreal,Drawn,2,2,Second half
Ball Receipt-Pass-Ball Receipt-Carry-Dribble,3946712,Villarreal,Drawn,2,2,Second half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946712,Villarreal,Drawn,2,2,Second half
Pass-Ball Receipt-Carry,3946712,Villarreal,Drawn,2,2,Second half
Pass,3946712,Villarreal,Drawn,2,2,Second half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946712,Villarreal,Drawn,2,2,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946712,Villarreal,Drawn,2,2,Second half
Pressure,3946712,Villarreal,Drawn,2,2,Second half
Ball Recovery-Carry-Pass-Ball Receipt,3946712,Villarreal,Drawn,2,2,Second half
Pressure,3946712,Villarreal,Drawn,2,2,Second half
Pressure-Pressure,3946712,Villarreal,Drawn,2,2,Second half
Pressure-Pressure,3946712,Villarreal,Drawn,2,2,Second half
Pressure-Pressure,3946712,Villarreal,Drawn,2,2,Second half
Duel,3946712,Villarreal,Drawn,2,2,Second half
Ball Recovery-Carry-Dispossessed,3946712,Villarreal,Drawn,2,2,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,3946712,Villarreal,Drawn,2,2,Second half
Pressure,3946712,Villarreal,Drawn,2,2,Second half
Pressure,3946712,Villarreal,Drawn,2,2,Second half
Pressure,3946712,Villarreal,Drawn,2,2,Second half
Duel-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946712,Villarreal,Drawn,2,2,Second half
