words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry,Oihan Sancet Tirapu-Yeray Álvarez López-Yeray Álvarez López,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass-Ball Receipt,Yeray Álvarez López-Alejandro Berenguer Remiro,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Block-Pressure,Alejandro Berenguer Remiro-Oihan Sancet Tirapu,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Alejandro Berenguer Remiro,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass,Mikel Vesga Arruti,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Ball Receipt-Pass-Ball Receipt,Iñaki Williams Arthuer-Iñaki Williams Arthuer-Oihan Sancet Tirapu,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Nicholas Williams Arthuer,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Oihan Sancet Tirapu,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Yuri Berchiche Izeta,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Clearance-Pass-Ball Receipt,Yeray Álvarez López-Íñigo Lekue Martínez-Iñaki Williams Arthuer,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Beñat Prados Díaz,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass,Daniel Vivian Moreno,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Ball Receipt-Carry-Miscontrol,Oihan Sancet Tirapu-Oihan Sancet Tirapu-Oihan Sancet Tirapu,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Oihan Sancet Tirapu,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Dribbled Past-Pressure,Mikel Vesga Arruti-Mikel Vesga Arruti,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Alejandro Berenguer Remiro,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Mikel Vesga Arruti,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Alejandro Berenguer Remiro,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Oihan Sancet Tirapu,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Yuri Berchiche Izeta,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Duel-Ball Recovery-Carry,Yuri Berchiche Izeta-Iñaki Williams Arthuer-Iñaki Williams Arthuer,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass-Ball Receipt-Carry,Iñaki Williams Arthuer-Mikel Vesga Arruti-Mikel Vesga Arruti,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Mikel Vesga Arruti-Yeray Álvarez López-Yeray Álvarez López-Yeray Álvarez López-Yuri Berchiche Izeta-Yuri Berchiche Izeta,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass-Ball Receipt-Carry,Yuri Berchiche Izeta-Iñaki Williams Arthuer-Iñaki Williams Arthuer,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Dispossessed,Iñaki Williams Arthuer,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
50/50,Iñaki Williams Arthuer,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure-Pressure,Iñaki Williams Arthuer-Beñat Prados Díaz,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Block,Iñaki Williams Arthuer,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass-Ball Receipt-Carry,Yuri Berchiche Izeta-Beñat Prados Díaz-Beñat Prados Díaz,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Beñat Prados Díaz-Yeray Álvarez López-Yeray Álvarez López-Yeray Álvarez López-Daniel Vivian Moreno-Daniel Vivian Moreno,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass-Ball Receipt-Carry,Daniel Vivian Moreno-Alejandro Padilla Pérez-Alejandro Padilla Pérez,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass-Ball Receipt,Alejandro Padilla Pérez-Iñaki Williams Arthuer,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Block,Iñaki Williams Arthuer,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass,Iñaki Williams Arthuer,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Ball Receipt-Carry,Nicholas Williams Arthuer-Nicholas Williams Arthuer,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nicholas Williams Arthuer-Yuri Berchiche Izeta-Yeray Álvarez López-Yeray Álvarez López-Íñigo Lekue Martínez-Íñigo Lekue Martínez-Íñigo Lekue Martínez-Daniel Vivian Moreno-Daniel Vivian Moreno-Daniel Vivian Moreno-Beñat Prados Díaz-Beñat Prados Díaz-Beñat Prados Díaz-Yuri Berchiche Izeta-Yuri Berchiche Izeta-Yuri Berchiche Izeta-Nicholas Williams Arthuer-Nicholas Williams Arthuer,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass-Ball Receipt,Nicholas Williams Arthuer-Yuri Berchiche Izeta,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Yuri Berchiche Izeta,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Alejandro Berenguer Remiro-Nicholas Williams Arthuer-Nicholas Williams Arthuer-Nicholas Williams Arthuer-Alejandro Berenguer Remiro-Alejandro Berenguer Remiro-Alejandro Berenguer Remiro-Beñat Prados Díaz-Beñat Prados Díaz,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass,Beñat Prados Díaz,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure-Pass,Alejandro Berenguer Remiro-Íñigo Lekue Martínez,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Ball Receipt-Carry-Pass,Oihan Sancet Tirapu-Oihan Sancet Tirapu-Oihan Sancet Tirapu,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Iñaki Williams Arthuer,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Alejandro Berenguer Remiro,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Oihan Sancet Tirapu,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Duel,Oihan Sancet Tirapu,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Alejandro Berenguer Remiro,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Oihan Sancet Tirapu,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Alejandro Berenguer Remiro,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Iñaki Williams Arthuer,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Alejandro Berenguer Remiro,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Mikel Vesga Arruti,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Beñat Prados Díaz,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Block,Beñat Prados Díaz,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure,Beñat Prados Díaz,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pass-Ball Receipt,Mikel Vesga Arruti-Alejandro Berenguer Remiro,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Pressure-Pressure,Alejandro Berenguer Remiro-Mikel Vesga Arruti,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
Dribbled Past-Pressure,Mikel Vesga Arruti-Beñat Prados Díaz,3946410,Athletic Club,Lost,1,2,First half,0.9949452609296706,0.8012848273763731
