words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Antoine Griezmann-Pablo Barrios Rivas-Pablo Barrios Rivas-Pablo Barrios Rivas-Marcos Llorente Moreno-Marcos Llorente Moreno-Marcos Llorente Moreno-Robin Aime Robert Le Normand-Robin Aime Robert Le Normand-Robin Aime Robert Le Normand-Jan Oblak-Jan Oblak-Jan Oblak,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Ball Receipt-Carry-Miscontrol-Pressure,Giuliano Simeone-Giuliano Simeone-Giuliano Simeone-Giuliano Simeone,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pass-Ball Receipt-Pass-Ball Receipt-Pass,Marcos Llorente Moreno-Rodrigo Javier De Paul-Rodrigo Javier De Paul-Marcos Llorente Moreno-Marcos Llorente Moreno,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Marcos Llorente Moreno,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Robin Aime Robert Le Normand,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Block-Pass-Ball Receipt-Carry-Pass,Robin Aime Robert Le Normand-Marcos Llorente Moreno-Clément Lenglet-Clément Lenglet-Clément Lenglet,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Ball Receipt-Carry-Dispossessed,Samuel Dias Lino-Samuel Dias Lino-Samuel Dias Lino,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Clément Lenglet,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Clément Lenglet-Marcos Llorente Moreno-Marcos Llorente Moreno-Marcos Llorente Moreno-Rodrigo Javier De Paul-Rodrigo Javier De Paul-Rodrigo Javier De Paul-Antoine Griezmann-Antoine Griezmann-Marcos Llorente Moreno-Marcos Llorente Moreno-Marcos Llorente Moreno-Rodrigo Javier De Paul-Rodrigo Javier De Paul-Rodrigo Javier De Paul,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Marcos Llorente Moreno-Antoine Griezmann-Antoine Griezmann-Clément Lenglet-Clément Lenglet-Clément Lenglet-Reinildo Isnard Mandava-Reinildo Isnard Mandava-Reinildo Isnard Mandava-Samuel Dias Lino-Samuel Dias Lino-Samuel Dias Lino-Pablo Barrios Rivas-Pablo Barrios Rivas,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pass,Pablo Barrios Rivas,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Samuel Dias Lino-Samuel Dias Lino-Samuel Dias Lino-Clément Lenglet-Clément Lenglet-Clément Lenglet-Antoine Griezmann-Antoine Griezmann-Antoine Griezmann-Giuliano Simeone,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Shot,Giuliano Simeone,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Rodrigo Javier De Paul,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Rodrigo Javier De Paul,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure-Pressure,Giuliano Simeone-Rodrigo Javier De Paul,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Rodrigo Javier De Paul,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Robin Aime Robert Le Normand,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Ball Recovery-Carry-Dribble,Samuel Dias Lino-Samuel Dias Lino-Samuel Dias Lino,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pass,Pablo Barrios Rivas,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pass-Ball Receipt-Miscontrol,Pablo Barrios Rivas-Samuel Dias Lino-Samuel Dias Lino,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Reinildo Isnard Mandava,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Dribbled Past-Pass,Reinildo Isnard Mandava-Jan Oblak,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Reinildo Isnard Mandava,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Dribbled Past,Reinildo Isnard Mandava,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Antoine Griezmann,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Rodrigo Javier De Paul,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Clément Lenglet-Reinildo Isnard Mandava-Reinildo Isnard Mandava-Reinildo Isnard Mandava-Samuel Dias Lino-Samuel Dias Lino,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Dispossessed,Samuel Dias Lino,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Samuel Dias Lino,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Dribbled Past-Pressure,Samuel Dias Lino-Samuel Dias Lino,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Pablo Barrios Rivas,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Robin Aime Robert Le Normand,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Goal Keeper-Pass,Jan Oblak-Jan Oblak,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Interception-Pressure,Pablo Barrios Rivas-Antoine Griezmann,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Antoine Griezmann,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Robin Aime Robert Le Normand-Rodrigo Javier De Paul-Rodrigo Javier De Paul-Rodrigo Javier De Paul-Pablo Barrios Rivas-Pablo Barrios Rivas,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Antoine Griezmann-Samuel Dias Lino-Samuel Dias Lino-Samuel Dias Lino-Reinildo Isnard Mandava-Reinildo Isnard Mandava-Reinildo Isnard Mandava-Clément Lenglet-Clément Lenglet-Clément Lenglet-Robin Aime Robert Le Normand-Robin Aime Robert Le Normand-Robin Aime Robert Le Normand-Marcos Llorente Moreno-Marcos Llorente Moreno-Marcos Llorente Moreno-Rodrigo Javier De Paul,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Pressure,Marcos Llorente Moreno,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
Interception-Pass,Pablo Barrios Rivas-Pablo Barrios Rivas,3946665,Atlético Madrid,Lost,2,4,Second half,1.5496560727137285,0.733284998238893
