words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,Borja Iglesias Quintas-Francisco José Beltrán Peinado-Francisco José Beltrán Peinado-Francisco José Beltrán Peinado-Marcos Alonso Mendoza-Marcos Alonso Mendoza-Marcos Alonso Mendoza-Sergio Carreira Vilariño-Sergio Carreira Vilariño-Williot Swedberg-Williot Swedberg-Iker Losada Aragunde,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Borja Iglesias Quintas,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Francisco José Beltrán Peinado,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Iker Losada Aragunde,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Javier Rodríguez Galiano,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Moriba Kourouma Kourouma,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Pablo Durán Fernández,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Williot Swedberg,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Francisco José Beltrán Peinado,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt,Vicente Guaita Panadero-Vicente Guaita Panadero-Moriba Kourouma Kourouma-Moriba Kourouma Kourouma-Iker Losada Aragunde,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Borja Iglesias Quintas,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Williot Swedberg,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pass-Ball Receipt-Pass-Ball Receipt,Vicente Guaita Panadero-Iker Losada Aragunde-Iker Losada Aragunde-Borja Iglesias Quintas,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pass-Ball Receipt,Francisco José Beltrán Peinado-Williot Swedberg,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Borja Iglesias Quintas,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Francisco José Beltrán Peinado,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Moriba Kourouma Kourouma-Moriba Kourouma Kourouma-Moriba Kourouma Kourouma-Pablo Durán Fernández-Pablo Durán Fernández,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Pablo Durán Fernández-Moriba Kourouma Kourouma-Moriba Kourouma Kourouma-Javier Rodríguez Galiano-Javier Rodríguez Galiano-Javier Rodríguez Galiano-Pablo Durán Fernández-Pablo Durán Fernández-Pablo Durán Fernández,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pass-Ball Receipt-Carry,Javier Rodríguez Galiano-Moriba Kourouma Kourouma-Moriba Kourouma Kourouma,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Dribble,Moriba Kourouma Kourouma,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Borja Iglesias Quintas,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Moriba Kourouma Kourouma,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Ball Recovery-Carry,Marcos Alonso Mendoza-Marcos Alonso Mendoza,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Miscontrol,Marcos Alonso Mendoza,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,Williot Swedberg-Francisco José Beltrán Peinado-Marcos Alonso Mendoza-Marcos Alonso Mendoza-Yoel Lago Amil-Yoel Lago Amil-Yoel Lago Amil-Borja Iglesias Quintas-Borja Iglesias Quintas-Moriba Kourouma Kourouma-Moriba Kourouma Kourouma-Williot Swedberg,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Borja Iglesias Quintas,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Williot Swedberg,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pressure,Borja Iglesias Quintas,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Duel,Yoel Lago Amil,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Injury Stoppage,Marcos Alonso Mendoza-Francisco José Beltrán Peinado-Francisco José Beltrán Peinado-Vicente Guaita Panadero-Vicente Guaita Panadero-Vicente Guaita Panadero-Yoel Lago Amil-Francisco José Beltrán Peinado,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Referee Ball-Drop-Ball Recovery-Carry-Pass-Ball Receipt-Carry,Unknown-Yoel Lago Amil-Yoel Lago Amil-Yoel Lago Amil-Marcos Alonso Mendoza-Marcos Alonso Mendoza,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Marcos Alonso Mendoza-Sergio Carreira Vilariño-Sergio Carreira Vilariño-Sergio Carreira Vilariño-Francisco José Beltrán Peinado,3946705,Celta Vigo,Lost,3,4,Second half,0.7439671104402008,0.867748194801295
