words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Jon Guridi Aldalur,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Pressure,Enrique García Martínez,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Pressure,Jon Guridi Aldalur,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Pressure,Carles Aleña Castillo,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Pass-Ball Receipt,Álvaro Santiago Mouriño González-Antonio Blanco Conde,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Clearance,Facundo Tomás Garcés,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Pressure,Álvaro Santiago Mouriño González,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Block-Pass-Ball Receipt-Carry,Álvaro Santiago Mouriño González-Carles Aleña Castillo-Manuel Sánchez De La Peña-Manuel Sánchez De La Peña,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Pass,Manuel Sánchez De La Peña,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Pressure,Jon Guridi Aldalur,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Pressure,Jon Guridi Aldalur,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Duel-Block,Facundo Tomás Garcés-Facundo Tomás Garcés,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Pressure,Ander Guevara Lajo,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Goal Keeper-Pass,Antonio Sivera Salvá-Antonio Sivera Salvá,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Duel-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Nahuel Tenaglia-Nahuel Tenaglia-Nahuel Tenaglia-Carlos Vicente Robles-Carlos Vicente Robles-Carlos Vicente Robles-Jon Guridi Aldalur-Jon Guridi Aldalur-Nahuel Tenaglia-Nahuel Tenaglia-Nahuel Tenaglia-Ander Guevara Lajo-Ander Guevara Lajo-Ander Guevara Lajo-Enrique García Martínez,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Pass-Ball Receipt-Injury Stoppage,Carlos Vicente Robles-Nahuel Tenaglia-Facundo Tomás Garcés,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
Referee Ball-Drop,Unknown,3946745,Deportivo Alavés,Won,1,0,Second half,0.8150707028555854,0.8317112661061392
