words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Roberto Fernández Jaén,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Marash Kumbulla-Alex Král-Alex Král-Alex Král-Roberto Fernández Jaén-Roberto Fernández Jaén,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Pass,Roberto Fernández Jaén,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Ball Receipt-Pass-Ball Receipt-Carry-Shot,Pol Lozano Vizuete-Pol Lozano Vizuete-Javier Puado Díaz-Javier Puado Díaz-Javier Puado Díaz,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Pressure,Roberto Fernández Jaén,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Pressure,Roberto Fernández Jaén,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Pol Lozano Vizuete-Alex Král-Alex Král-Alex Král-Omar El Hilali-Omar El Hilali-Omar El Hilali-Pol Lozano Vizuete,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Pass-Ball Receipt-Carry-Pass,Omar El Hilali-Alex Král-Alex Král-Alex Král,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Ball Receipt-Carry-Pass-Ball Receipt,Omar El Hilali-Omar El Hilali-Omar El Hilali-Alex Král,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Pressure,Jofre Carreras Pagès,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Pass-Ball Receipt-Carry-Pass,Leandro Daniel Cabrera Sasía-Marash Kumbulla-Marash Kumbulla-Marash Kumbulla,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Ball Receipt-Pass-Ball Receipt-Carry,Pol Lozano Vizuete-Pol Lozano Vizuete-Urko González de Zarate Quirós-Urko González de Zarate Quirós,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Pass-Ball Receipt,Urko González de Zarate Quirós-Alex Král,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Leandro Daniel Cabrera Sasía-Roberto Fernández Jaén-Roberto Fernández Jaén-Roberto Fernández Jaén-Urko González de Zarate Quirós-Urko González de Zarate Quirós,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Dispossessed,Urko González de Zarate Quirós,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
Pressure,Urko González de Zarate Quirós,3946611,Espanyol,Won,1,0,Second half,1.2352097214941815,0.74326369957274
