words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Luis Milla Manzanares-Domingos Sousa Coutinho Meneses Duarte-Domingos Sousa Coutinho Meneses Duarte-Domingos Sousa Coutinho Meneses Duarte-Álvaro Daniel Rodríguez Muñoz-Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure-Foul Committed,Álvaro Daniel Rodríguez Muñoz-Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Mauro Wilney Arambarri Rosa,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Mauro Wilney Arambarri Rosa,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Carles Pérez Sayol,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pass-Ball Receipt-Duel,Diego Rico Salguero-Álvaro Daniel Rodríguez Muñoz-Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Omar Federico Alderete Fernández,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pass-Ball Receipt-Pass-Pressure-Ball Receipt,Juan Berrocal González-Carles Pérez Sayol-Carles Pérez Sayol-Álvaro Daniel Rodríguez Muñoz-Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Foul Committed,Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Foul Committed,Omar Federico Alderete Fernández,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Injury Stoppage,Omar Federico Alderete Fernández,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Referee Ball-Drop,Unknown,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Juan Antonio Iglesias Sánchez,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Foul Committed,Juan Antonio Iglesias Sánchez,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Mauro Wilney Arambarri Rosa,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Mauro Wilney Arambarri Rosa,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Clearance,Juan Antonio Iglesias Sánchez,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Mauro Wilney Arambarri Rosa,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Mauro Wilney Arambarri Rosa,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Allan Romeo Nyom,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Luis Milla Manzanares,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Luis Milla Manzanares,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Duel-Carry,Luis Milla Manzanares-Luis Milla Manzanares,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pass,Luis Milla Manzanares,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Ball Receipt-Carry-Pass-Pressure-Ball Receipt,David Soria Solís-David Soria Solís-David Soria Solís-Mauro Wilney Arambarri Rosa-Mauro Wilney Arambarri Rosa,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,Omar Federico Alderete Fernández-Omar Federico Alderete Fernández-Omar Federico Alderete Fernández-Álvaro Daniel Rodríguez Muñoz-Álvaro Daniel Rodríguez Muñoz-Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Juan Antonio Iglesias Sánchez,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Luis Milla Manzanares-Luis Milla Manzanares-Luis Milla Manzanares-Domingos Sousa Coutinho Meneses Duarte-Domingos Sousa Coutinho Meneses Duarte-Mauro Wilney Arambarri Rosa-Mauro Wilney Arambarri Rosa,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Mauro Wilney Arambarri Rosa-Omar Federico Alderete Fernández-Omar Federico Alderete Fernández-Omar Federico Alderete Fernández-Diego Rico Salguero-Diego Rico Salguero-Diego Rico Salguero-Allan Romeo Nyom,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Shot,Allan Romeo Nyom,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Diego Rico Salguero,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Duel,Diego Rico Salguero,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Clearance-Pass,Diego Rico Salguero-Omar Federico Alderete Fernández,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Ball Receipt-Carry-Pass-Pressure-Ball Receipt,Álvaro Daniel Rodríguez Muñoz-Álvaro Daniel Rodríguez Muñoz-Álvaro Daniel Rodríguez Muñoz-Omar Federico Alderete Fernández-Omar Federico Alderete Fernández,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Clearance,Luis Milla Manzanares,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Omar Federico Alderete Fernández-Omar Federico Alderete Fernández-Omar Federico Alderete Fernández-Carles Pérez Sayol-Carles Pérez Sayol-Carles Pérez Sayol-Diego Rico Salguero-Diego Rico Salguero-Diego Rico Salguero-Juan Berrocal González-Juan Berrocal González,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pass-Ball Receipt,Juan Berrocal González-Allan Romeo Nyom,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Domingos Sousa Coutinho Meneses Duarte,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Foul Committed,Domingos Sousa Coutinho Meneses Duarte,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Mauro Wilney Arambarri Rosa,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Mauro Wilney Arambarri Rosa,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Diego Rico Salguero,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Duel-Ball Recovery-Carry-Pass-Ball Receipt,Diego Rico Salguero-Juan Berrocal González-Juan Berrocal González-Juan Berrocal González-Mauro Wilney Arambarri Rosa,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Carles Pérez Sayol,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Ball Recovery-Carry,Omar Federico Alderete Fernández-Omar Federico Alderete Fernández,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Dribble,Omar Federico Alderete Fernández,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Omar Federico Alderete Fernández,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Mauro Wilney Arambarri Rosa,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pass-Ball Receipt-Pass,Juan Antonio Iglesias Sánchez-Allan Romeo Nyom-Allan Romeo Nyom,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Ball Receipt,Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Diego Rico Salguero,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Carles Pérez Sayol,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Luis Milla Manzanares,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pass-Ball Receipt-Carry-Dribble,Juan Berrocal González-Omar Federico Alderete Fernández-Omar Federico Alderete Fernández-Omar Federico Alderete Fernández,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Carles Pérez Sayol,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Dribbled Past,Carles Pérez Sayol,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Clearance,Allan Romeo Nyom,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Mauro Wilney Arambarri Rosa,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Mauro Wilney Arambarri Rosa,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pressure,Omar Federico Alderete Fernández,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Foul Committed,Omar Federico Alderete Fernández,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Block-Bad Behaviour,Juan Antonio Iglesias Sánchez-Allan Romeo Nyom,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Clearance,Álvaro Daniel Rodríguez Muñoz,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Ball Recovery-Carry,Carles Pérez Sayol-Carles Pérez Sayol,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
Pass-Ball Receipt-Carry,Carles Pérez Sayol-Diego Rico Salguero-Diego Rico Salguero,3946542,Getafe,Lost,0,2,First half,0.9344196365314819,0.7946159685986537
