words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Bryan Gil Salvatierra,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pressure,Bryan Gil Salvatierra,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pressure,Donny van de Beek,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pass-Ball Receipt,Miguel Gutiérrez Ortega-Bryan Gil Salvatierra,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Block,Miguel Gutiérrez Ortega,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pass-Ball Receipt-Carry,David López Silva-Arnau Martinez-Arnau Martinez,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pass-Ball Receipt-Carry-Pass,Arnau Martinez-Oriol Romeu Vidal-Oriol Romeu Vidal-Oriol Romeu Vidal,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Iván Martín Núñez-Iván Martín Núñez-Iván Martín Núñez-Ladislav Krejčí-Ladislav Krejčí-Ladislav Krejčí-Yaser Esneider Asprilla Martínez-Yaser Esneider Asprilla Martínez,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pass-Ball Receipt-Carry-Pass,Yaser Esneider Asprilla Martínez-Bryan Gil Salvatierra-Bryan Gil Salvatierra-Bryan Gil Salvatierra,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Miguel Gutiérrez Ortega-Miguel Gutiérrez Ortega-Miguel Gutiérrez Ortega-Iván Martín Núñez-Iván Martín Núñez-Iván Martín Núñez-Ladislav Krejčí-Ladislav Krejčí-Ladislav Krejčí-David López Silva-David López Silva,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,David López Silva-Paulo Dino Gazzaniga-Paulo Dino Gazzaniga-Paulo Dino Gazzaniga-David López Silva-David López Silva-David López Silva-Iván Martín Núñez-Iván Martín Núñez-Iván Martín Núñez-David López Silva-David López Silva-David López Silva-Paulo Dino Gazzaniga-Paulo Dino Gazzaniga-Paulo Dino Gazzaniga-David López Silva-David López Silva-David López Silva-Arnau Martinez-Arnau Martinez,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Arnau Martinez-Paulo Dino Gazzaniga-Paulo Dino Gazzaniga-Paulo Dino Gazzaniga-Donny van de Beek-Donny van de Beek-Donny van de Beek,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Ball Receipt-Carry-Pass,Yaser Esneider Asprilla Martínez-Yaser Esneider Asprilla Martínez-Yaser Esneider Asprilla Martínez,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Ladislav Krejčí-Ladislav Krejčí-Ladislav Krejčí-Miguel Gutiérrez Ortega-Miguel Gutiérrez Ortega-Miguel Gutiérrez Ortega-Ladislav Krejčí-Ladislav Krejčí-Ladislav Krejčí-Iván Martín Núñez-Iván Martín Núñez-Iván Martín Núñez-Arnau Martinez-Arnau Martinez-Arnau Martinez-Yaser Esneider Asprilla Martínez-Yaser Esneider Asprilla Martínez-Yaser Esneider Asprilla Martínez-Donny van de Beek-Donny van de Beek-Donny van de Beek-Yaser Esneider Asprilla Martínez-Yaser Esneider Asprilla Martínez-Yaser Esneider Asprilla Martínez-Ladislav Krejčí-Ladislav Krejčí-Ladislav Krejčí-Bryan Gil Salvatierra-Bryan Gil Salvatierra,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Bryan Gil Salvatierra-Ladislav Krejčí-Ladislav Krejčí-Ladislav Krejčí-Bryan Gil Salvatierra-Bryan Gil Salvatierra-Bryan Gil Salvatierra,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pressure,Donny van de Beek,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pressure,Miguel Gutiérrez Ortega,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Block-Ball Recovery-Carry,Miguel Gutiérrez Ortega-Bryan Gil Salvatierra-Bryan Gil Salvatierra,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Bryan Gil Salvatierra-Miguel Gutiérrez Ortega-Miguel Gutiérrez Ortega-Miguel Gutiérrez Ortega-Bojan Miovski-Bojan Miovski-Bojan Miovski,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pressure,Miguel Gutiérrez Ortega,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pressure,Bryan Gil Salvatierra,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pressure,Bojan Miovski,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Miguel Gutiérrez Ortega-Bryan Gil Salvatierra-Bryan Gil Salvatierra-Bryan Gil Salvatierra-Bojan Miovski,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pressure,Donny van de Beek,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Ball Recovery,Yaser Esneider Asprilla Martínez,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pressure,David López Silva,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Duel,David López Silva,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pressure-Pressure,Iván Martín Núñez-Yaser Esneider Asprilla Martínez,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Oriol Romeu Vidal-Bojan Miovski-Bojan Miovski-Bojan Miovski-Donny van de Beek-Donny van de Beek-Donny van de Beek-Yaser Esneider Asprilla Martínez-Yaser Esneider Asprilla Martínez-Yaser Esneider Asprilla Martínez-Iván Martín Núñez-Iván Martín Núñez,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Iván Martín Núñez-David López Silva-David López Silva-David López Silva-Paulo Dino Gazzaniga-Paulo Dino Gazzaniga-Paulo Dino Gazzaniga-Ladislav Krejčí-Ladislav Krejčí-Ladislav Krejčí-Bryan Gil Salvatierra,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pressure,Iván Martín Núñez,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pressure,Bojan Miovski,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pressure,Yaser Esneider Asprilla Martínez,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Arnau Martinez-David López Silva-David López Silva-Paulo Dino Gazzaniga-Paulo Dino Gazzaniga-Ladislav Krejčí-Ladislav Krejčí-Ladislav Krejčí-Miguel Gutiérrez Ortega-Miguel Gutiérrez Ortega-Miguel Gutiérrez Ortega-Oriol Romeu Vidal-Oriol Romeu Vidal-Oriol Romeu Vidal-Ladislav Krejčí-Ladislav Krejčí,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pass-Ball Receipt-Carry,Ladislav Krejčí-Bryan Gil Salvatierra-Bryan Gil Salvatierra,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Pass-Ball Receipt-Carry-Pass,Bryan Gil Salvatierra-Miguel Gutiérrez Ortega-Miguel Gutiérrez Ortega-Miguel Gutiérrez Ortega,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Arnau Martinez-Arnau Martinez-Arnau Martinez-Yaser Esneider Asprilla Martínez-Yaser Esneider Asprilla Martínez-Yaser Esneider Asprilla Martínez-Arnau Martinez-Arnau Martinez-Arnau Martinez-Iván Martín Núñez,3946548,Girona,Lost,0,3,First half,1.3365807696846086,0.7427943462210705
