words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass,Víctor Álvarez Rozada,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Ball Receipt-Pass-Ball Receipt,Fábio Daniel Soares Silva-Fábio Daniel Soares Silva-Víctor Álvarez Rozada,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pass-Ball Receipt-Carry,Víctor Álvarez Rozada-José Ángel Gómez Campaña-José Ángel Gómez Campaña,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pass,José Ángel Gómez Campaña,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pressure,Manuel Fuster Lázaro,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pressure,Fábio Daniel Soares Silva,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pressure,Sandro Ramírez Castillo,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pressure,Dario Cassia Luis Essugo,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pressure,Alejandro José Muñoz Miguel,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Jasper Cillessen-Jasper Cillessen-Jasper Cillessen-Scott McKenna-Scott McKenna,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pass-Ball Receipt-Pass-Ball Receipt,Scott McKenna-Fábio Daniel Soares Silva-Fábio Daniel Soares Silva-Manuel Fuster Lázaro,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Clearance-Clearance,Dario Cassia Luis Essugo-Alejandro José Muñoz Miguel,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pressure,Alejandro José Muñoz Miguel,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pressure,Dario Cassia Luis Essugo,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Duel-Carry,Kirian Rodríguez Concepción-Kirian Rodríguez Concepción,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pass,Kirian Rodríguez Concepción,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Ball Receipt-Carry,Dario Cassia Luis Essugo-Dario Cassia Luis Essugo,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pass-Ball Receipt-Carry,Dario Cassia Luis Essugo-Fábio Daniel Soares Silva-Fábio Daniel Soares Silva,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Fábio Daniel Soares Silva-Sandro Ramírez Castillo-Sandro Ramírez Castillo-Sandro Ramírez Castillo-Víctor Álvarez Rozada-Víctor Álvarez Rozada-Víctor Álvarez Rozada-Dario Cassia Luis Essugo-Dario Cassia Luis Essugo,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Dario Cassia Luis Essugo-Sandro Ramírez Castillo-Sandro Ramírez Castillo-Sandro Ramírez Castillo-Dario Cassia Luis Essugo,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Kirian Rodríguez Concepción-Kirian Rodríguez Concepción-Kirian Rodríguez Concepción-Manuel Fuster Lázaro-Manuel Fuster Lázaro,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Manuel Fuster Lázaro-Sandro Ramírez Castillo-Sandro Ramírez Castillo-Sandro Ramírez Castillo-Víctor Álvarez Rozada-Víctor Álvarez Rozada-Víctor Álvarez Rozada-Sandro Ramírez Castillo-Sandro Ramírez Castillo-Sandro Ramírez Castillo,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Ball Receipt-Carry-Pass,Víctor Álvarez Rozada-Víctor Álvarez Rozada-Víctor Álvarez Rozada,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pass,Sandro Ramírez Castillo,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Shot-Ball Receipt,Fábio Daniel Soares Silva-Fábio Daniel Soares Silva,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pressure,Kirian Rodríguez Concepción,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pressure,Alejandro José Muñoz Miguel,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pressure,José Ángel Gómez Campaña,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
Pressure,Víctor Álvarez Rozada,3946528,Las Palmas,Lost,2,3,First half,0.8525650975405634,0.8462931793209709
