words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry,Daniel Raba Antolín-Sergio González Poirrier-Sergio González Poirrier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Duel,Sergio González Poirrier-Diego García Campos-Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Javier Hernández Carrera-Renato Fabrizio Tapia Cortijo-Renato Fabrizio Tapia Cortijo-Renato Fabrizio Tapia Cortijo-Javier Hernández Carrera-Javier Hernández Carrera,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Javier Hernández Carrera-Matija Nastasić-Matija Nastasić-Matija Nastasić-Sergio González Poirrier-Sergio González Poirrier-Sergio González Poirrier-Yvan Neyou Noupa-Yvan Neyou Noupa-Yvan Neyou Noupa-Sergio González Poirrier-Sergio González Poirrier-Sergio González Poirrier-Matija Nastasić-Matija Nastasić-Matija Nastasić-Javier Hernández Carrera-Javier Hernández Carrera-Javier Hernández Carrera-Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass,Juan Cruz Díaz Espósito,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Ball Receipt-Carry-Dribble,Diego García Campos-Diego García Campos-Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Goal Keeper,Marko Dmitrović,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Matija Nastasić,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Goal Keeper,Marko Dmitrović,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Goal Keeper-Block-Injury Stoppage,Marko Dmitrović-Matija Nastasić-Renato Fabrizio Tapia Cortijo,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Clearance,Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Ball Recovery-Pressure,Yvan Neyou Noupa-Yvan Neyou Noupa,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass,Marko Dmitrović,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Valentin Rosier-Sergio González Poirrier-Sergio González Poirrier-Sergio González Poirrier-Matija Nastasić-Matija Nastasić,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt,Matija Nastasić-Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Óscar Rodríguez Arnaiz,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Valentin Rosier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Duel,Valentin Rosier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass,Marko Dmitrović,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Sergio González Poirrier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure-Foul Committed,Sergio González Poirrier-Sergio González Poirrier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure-Foul Committed,Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Clearance,Matija Nastasić,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Clearance,Sergio González Poirrier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Yvan Neyou Noupa,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Pass,Valentin Rosier-Yvan Neyou Noupa-Yvan Neyou Noupa,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt,Valentin Rosier-Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure-Pressure,Javier Hernández Carrera-Renato Fabrizio Tapia Cortijo,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Duel-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Renato Fabrizio Tapia Cortijo-Javier Hernández Carrera-Renato Fabrizio Tapia Cortijo-Renato Fabrizio Tapia Cortijo-Renato Fabrizio Tapia Cortijo-Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito-Javier Hernández Carrera-Javier Hernández Carrera-Javier Hernández Carrera,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass,Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Clearance,Yvan Neyou Noupa,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Goal Keeper-Carry,Marko Dmitrović-Marko Dmitrović,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass,Marko Dmitrović,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Ball Recovery-Carry,Yvan Neyou Noupa-Yvan Neyou Noupa,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt,Yvan Neyou Noupa-Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Yvan Neyou Noupa,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Valentin Rosier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt,Valentin Rosier-Renato Fabrizio Tapia Cortijo,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt,Renato Fabrizio Tapia Cortijo-Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Dribbled Past,Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Interception-Ball Recovery-Carry,Javier Hernández Carrera-Yvan Neyou Noupa-Yvan Neyou Noupa,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Carry,Yvan Neyou Noupa-Daniel Raba Antolín-Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Carry,Daniel Raba Antolín-Yvan Neyou Noupa-Yvan Neyou Noupa,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Foul Won-Pass-Ball Receipt,Yvan Neyou Noupa-Sergio González Poirrier-Juan Cruz Díaz Espósito,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Ball Recovery-Carry,Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Dribble,Juan Cruz Díaz Espósito,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure-Pressure,Juan Cruz Díaz Espósito-Javier Hernández Carrera,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Ball Recovery-Carry,Renato Fabrizio Tapia Cortijo-Renato Fabrizio Tapia Cortijo,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Renato Fabrizio Tapia Cortijo-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz-Matija Nastasić-Matija Nastasić-Matija Nastasić-Sergio González Poirrier-Sergio González Poirrier-Sergio González Poirrier-Yvan Neyou Noupa-Yvan Neyou Noupa-Yvan Neyou Noupa-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz-Renato Fabrizio Tapia Cortijo-Renato Fabrizio Tapia Cortijo,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Dispossessed,Renato Fabrizio Tapia Cortijo,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt,Renato Fabrizio Tapia Cortijo-Sergio González Poirrier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass,Yvan Neyou Noupa,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Marko Dmitrović-Marko Dmitrović-Marko Dmitrović-Sergio González Poirrier-Sergio González Poirrier-Sergio González Poirrier-Yvan Neyou Noupa-Yvan Neyou Noupa-Yvan Neyou Noupa,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Ball Receipt-Carry,Daniel Raba Antolín-Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Daniel Raba Antolín-Daniel Raba Antolín-Matija Nastasić-Matija Nastasić-Matija Nastasić-Javier Hernández Carrera-Javier Hernández Carrera-Javier Hernández Carrera-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Ball Receipt-Carry-Dispossessed,Javier Hernández Carrera-Javier Hernández Carrera-Javier Hernández Carrera,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Carry-Pass,Matija Nastasić-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Interception-Carry-Miscontrol,Valentin Rosier-Valentin Rosier-Valentin Rosier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Goal Keeper-Pass-Ball Receipt-Miscontrol,Marko Dmitrović-Marko Dmitrović-Renato Fabrizio Tapia Cortijo-Renato Fabrizio Tapia Cortijo,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Foul Committed,Renato Fabrizio Tapia Cortijo,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Injury Stoppage,Renato Fabrizio Tapia Cortijo,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Goal Keeper-Pass,Marko Dmitrović-Marko Dmitrović,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Óscar Rodríguez Arnaiz,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Duel-Carry-Pass-Ball Receipt-Carry,Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz-Daniel Raba Antolín-Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Foul Won-Pass,Daniel Raba Antolín-Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Shield-Injury Stoppage-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Diego García Campos-Renato Fabrizio Tapia Cortijo-Juan Cruz Díaz Espósito-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz-Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito-Daniel Raba Antolín-Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Dribble-Carry,Daniel Raba Antolín-Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Dribble-Carry,Daniel Raba Antolín-Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Shot,Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Carry-Miscontrol,Matija Nastasić-Daniel Raba Antolín-Daniel Raba Antolín-Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Clearance-Pressure,Javier Hernández Carrera-Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Ball Recovery-Carry,Daniel Raba Antolín-Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Dispossessed,Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Ball Recovery-Carry-Dribble,Daniel Raba Antolín-Daniel Raba Antolín-Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Yvan Neyou Noupa,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Block-Ball Recovery-Carry,Yvan Neyou Noupa-Renato Fabrizio Tapia Cortijo-Renato Fabrizio Tapia Cortijo,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Carry-Dribble,Renato Fabrizio Tapia Cortijo-Diego García Campos-Diego García Campos-Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Yvan Neyou Noupa,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Duel-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,Yvan Neyou Noupa-Renato Fabrizio Tapia Cortijo-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz-Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito-Juan Cruz Díaz Espósito-Renato Fabrizio Tapia Cortijo-Renato Fabrizio Tapia Cortijo,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Carry,Juan Cruz Díaz Espósito-Daniel Raba Antolín-Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Daniel Raba Antolín-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz-Matija Nastasić,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Pressure-Ball Receipt,Matija Nastasić-Diego García Campos-Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure-Foul Committed,Renato Fabrizio Tapia Cortijo-Renato Fabrizio Tapia Cortijo,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Carry,Matija Nastasić-Diego García Campos-Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Carry,Diego García Campos-Óscar Rodríguez Arnaiz-Óscar Rodríguez Arnaiz,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass,Óscar Rodríguez Arnaiz,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Foul Committed,Daniel Raba Antolín-Valentin Rosier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Ball Receipt,Valentin Rosier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Daniel Raba Antolín,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Valentin Rosier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Block-Ball Recovery-Carry,Valentin Rosier-Valentin Rosier-Valentin Rosier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Dispossessed,Valentin Rosier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure-Foul Committed,Valentin Rosier-Valentin Rosier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Injury Stoppage,Yvan Neyou Noupa,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pressure,Óscar Rodríguez Arnaiz,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt-Pass-Ball Receipt-Carry,Sergio González Poirrier-Valentin Rosier-Valentin Rosier-Renato Fabrizio Tapia Cortijo-Renato Fabrizio Tapia Cortijo,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Pass-Ball Receipt,Renato Fabrizio Tapia Cortijo-Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Miscontrol-Pass,Diego García Campos-Valentin Rosier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Ball Receipt-Carry,Diego García Campos-Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Dispossessed,Diego García Campos,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Injury Stoppage-Player Off-Referee Ball-Drop,Diego García Campos-Diego García Campos-Unknown,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Player On-Pressure,Diego García Campos-Juan Cruz Díaz Espósito,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Clearance,Valentin Rosier,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
Ball Recovery-Carry,Renato Fabrizio Tapia Cortijo-Renato Fabrizio Tapia Cortijo,3946537,Leganés,Drawn,1,1,First half,1.517755561641666,0.7339592140006372
