words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,Sergi Darder Moll-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Vedat Muriqi,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass,Vedat Muriqi,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Pablo Maffeo Becerra-Dominik Greif-Dominik Greif-Dominik Greif-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Martin Valjent-Martin Valjent-Martin Valjent-Antonio José Raillo Arenas-Antonio José Raillo Arenas,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass,Antonio José Raillo Arenas,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Ball Receipt,Takuma Asano,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass-Ball Receipt-Duel,Antonio José Raillo Arenas-Robert Navarro Muñoz-Robert Navarro Muñoz,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass-Ball Receipt-Carry,Johan Andrés Mojica Palacio-Daniel José Rodríguez Vázquez-Daniel José Rodríguez Vázquez,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass,Daniel José Rodríguez Vázquez,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Ball Receipt-Carry-Pass,Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Ball Receipt-Carry-Pass-Ball Receipt,Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Sergi Darder Moll,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass-Ball Receipt,Sergi Darder Moll-Takuma Asano,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,Takuma Asano-Omar Mascarell González-Sergi Darder Moll-Sergi Darder Moll-Robert Navarro Muñoz-Robert Navarro Muñoz-Robert Navarro Muñoz,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pressure,Daniel José Rodríguez Vázquez,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass,Pablo Maffeo Becerra,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Duel-Block,Sergi Darder Moll-Sergi Darder Moll,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pressure,Daniel José Rodríguez Vázquez,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Antonio José Raillo Arenas-Antonio José Raillo Arenas-Antonio José Raillo Arenas-Omar Mascarell González-Omar Mascarell González-Omar Mascarell González-Martin Valjent-Martin Valjent,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass-Ball Receipt-Carry,Martin Valjent-Daniel José Rodríguez Vázquez-Daniel José Rodríguez Vázquez,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Dispossessed,Daniel José Rodríguez Vázquez,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pressure,Antonio José Raillo Arenas,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Dribbled Past,Antonio José Raillo Arenas,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Goal Keeper-Ball Recovery-Carry-Pass,Dominik Greif-Sergi Darder Moll-Sergi Darder Moll-Sergi Darder Moll,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Ball Receipt-Carry-Dispossessed,Vedat Muriqi-Vedat Muriqi-Vedat Muriqi,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass,Johan Andrés Mojica Palacio,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio-Omar Mascarell González-Omar Mascarell González-Omar Mascarell González-Johan Andrés Mojica Palacio,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Ball Recovery-Carry-Dribble-Carry,Robert Navarro Muñoz-Robert Navarro Muñoz-Robert Navarro Muñoz-Robert Navarro Muñoz,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass-Ball Receipt-Pass,Robert Navarro Muñoz-Johan Andrés Mojica Palacio-Johan Andrés Mojica Palacio,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass-Ball Receipt,Johan Andrés Mojica Palacio-Vedat Muriqi,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass,Vedat Muriqi,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass-Ball Receipt-Carry,Martin Valjent-Dominik Greif-Dominik Greif,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass,Dominik Greif,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pressure,Martin Valjent,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass-Ball Receipt-Carry,Antonio José Raillo Arenas-Dominik Greif-Dominik Greif,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
Pass-Ball Receipt,Dominik Greif-Vedat Muriqi,3946633,Mallorca,Won,3,1,Second half,1.7328859108674262,0.7051034866734007
