words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Ante Budimir,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pass,Flavien-Enzo Boyomo,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Ball Receipt-Pass-Ball Receipt,Sergio Herrera Pirón-Sergio Herrera Pirón-Rubén García Santos,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Flavien-Enzo Boyomo,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pass-Ball Receipt-Carry-Miscontrol,Álvaro Juan Cruz Armada-Enrique Barja Afonso-Enrique Barja Afonso-Enrique Barja Afonso,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Aimar Oroz,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Alejandro Catena Marugán-Sergio Herrera Pirón-Sergio Herrera Pirón-Sergio Herrera Pirón-Flavien-Enzo Boyomo-Flavien-Enzo Boyomo-Flavien-Enzo Boyomo-Rubén García Santos,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Ante Budimir,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Clearance,Flavien-Enzo Boyomo,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pass-Ball Receipt,Jesús Areso Blanco-Iker Muñoz Cameros,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Foul Committed,Álvaro Juan Cruz Armada,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Goal Keeper-Pass-Ball Receipt-Carry-Miscontrol,Sergio Herrera Pirón-Sergio Herrera Pirón-Enrique Barja Afonso-Enrique Barja Afonso-Enrique Barja Afonso,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Iker Muñoz Cameros,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pass-Ball Receipt-Carry-Miscontrol-Pressure,Jon Moncayola Tollar-Aimar Oroz-Aimar Oroz-Aimar Oroz-Aimar Oroz,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Ball Recovery-Carry-Pass,Alejandro Catena Marugán-Alejandro Catena Marugán-Alejandro Catena Marugán,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pass-Ball Receipt,Sergio Herrera Pirón-Ante Budimir,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pass,Iker Muñoz Cameros,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Ball Receipt,Ante Budimir,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pass,Iker Muñoz Cameros,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Ball Receipt,Álvaro Juan Cruz Armada,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Ball Recovery-Carry,Álvaro Juan Cruz Armada-Álvaro Juan Cruz Armada,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pass-Ball Receipt-Pass,Álvaro Juan Cruz Armada-Ante Budimir-Ante Budimir,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Ball Receipt,Enrique Barja Afonso,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pass,Álvaro Juan Cruz Armada,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Ball Receipt-Carry-Foul Committed,Enrique Barja Afonso-Enrique Barja Afonso-Enrique Barja Afonso,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pass,Flavien-Enzo Boyomo,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure-Ball Receipt,Ante Budimir-Ante Budimir,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Jesús Areso Blanco-Rubén García Santos-Rubén García Santos-Rubén García Santos-Jon Moncayola Tollar-Jon Moncayola Tollar,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pass-Ball Receipt,Jon Moncayola Tollar-Jesús Areso Blanco,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Jesús Areso Blanco-Flavien-Enzo Boyomo-Flavien-Enzo Boyomo-Flavien-Enzo Boyomo-Sergio Herrera Pirón-Sergio Herrera Pirón-Sergio Herrera Pirón-Ante Budimir,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Aimar Oroz,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Iker Muñoz Cameros,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Aimar Oroz,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Jon Moncayola Tollar,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Iker Muñoz Cameros,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Miscontrol,Sergio Herrera Pirón-Sergio Herrera Pirón-Flavien-Enzo Boyomo-Flavien-Enzo Boyomo-Flavien-Enzo Boyomo-Jesús Areso Blanco-Jesús Areso Blanco-Jesús Areso Blanco-Rubén García Santos-Rubén García Santos,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Ante Budimir,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Clearance,Álvaro Juan Cruz Armada,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Iker Muñoz Cameros,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Jesús Areso Blanco,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,Rubén García Santos-Rubén García Santos-Rubén García Santos-Enrique Barja Afonso-Enrique Barja Afonso-Enrique Barja Afonso,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Iker Muñoz Cameros-Iker Muñoz Cameros-Enrique Barja Afonso-Enrique Barja Afonso-Enrique Barja Afonso-Sergio Herrera Pirón-Sergio Herrera Pirón-Álvaro Juan Cruz Armada-Álvaro Juan Cruz Armada-Álvaro Juan Cruz Armada-Iker Muñoz Cameros-Iker Muñoz Cameros-Iker Muñoz Cameros-Álvaro Juan Cruz Armada,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Enrique Barja Afonso,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Ante Budimir,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Jon Moncayola Tollar,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
Pressure,Iker Muñoz Cameros,3946598,Osasuna,Drawn,1,1,Second half,1.0894698722227436,0.7891251751218247
