words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Duel,Augusto Martín Batalla Barga-Khalid Abdul Mumin Suleman-Augusto Martín Batalla Barga-Augusto Martín Batalla Barga-Augusto Martín Batalla Barga-Jorge De Frutos Sebastián,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Ball Recovery-Carry,Andrei Florin Ratiu-Andrei Florin Ratiu,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Dribble-Carry,Andrei Florin Ratiu-Andrei Florin Ratiu,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Andrei Florin Ratiu-Florian Grégoire Claude Lejeune-Florian Grégoire Claude Lejeune-Florian Grégoire Claude Lejeune-Augusto Martín Batalla Barga-Augusto Martín Batalla Barga-Augusto Martín Batalla Barga-Florian Grégoire Claude Lejeune-Florian Grégoire Claude Lejeune-Florian Grégoire Claude Lejeune-Isaac Palazón Camacho-Isaac Palazón Camacho-Isaac Palazón Camacho-Jorge De Frutos Sebastián-Jorge De Frutos Sebastián-Jorge De Frutos Sebastián-Isaac Palazón Camacho-Isaac Palazón Camacho,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pass,Isaac Palazón Camacho,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,Pathé Ismaël Ciss-Pathé Ismaël Ciss-Pathé Ismaël Ciss-Andrei Florin Ratiu-Andrei Florin Ratiu-Andrei Florin Ratiu,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Block,Andrei Florin Ratiu,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pressure,Isaac Palazón Camacho,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pass,Unai López Cabrera,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pressure,Randy Nteka,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pressure,Isaac Palazón Camacho,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pressure,Unai López Cabrera,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pressure,Isaac Palazón Camacho,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Foul Committed,Isaac Palazón Camacho,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pressure,Adrián Embarba Blázquez,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pass-Pressure-Foul Committed,Josep María Chavarría Pérez-Pathé Ismaël Ciss-Pathé Ismaël Ciss,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pressure,Randy Nteka,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Josep María Chavarría Pérez-Khalid Abdul Mumin Suleman-Khalid Abdul Mumin Suleman-Khalid Abdul Mumin Suleman-Florian Grégoire Claude Lejeune-Florian Grégoire Claude Lejeune-Florian Grégoire Claude Lejeune-Andrei Florin Ratiu-Andrei Florin Ratiu-Andrei Florin Ratiu-Pathé Ismaël Ciss,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Ball Recovery-Carry-Pass,Khalid Abdul Mumin Suleman-Khalid Abdul Mumin Suleman-Khalid Abdul Mumin Suleman,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Augusto Martín Batalla Barga-Augusto Martín Batalla Barga-Augusto Martín Batalla Barga-Josep María Chavarría Pérez-Josep María Chavarría Pérez,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pass,Josep María Chavarría Pérez,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Ball Receipt-Carry-Pass,Randy Nteka-Randy Nteka-Randy Nteka,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pressure,Isaac Palazón Camacho,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pass,Khalid Abdul Mumin Suleman,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pressure,Isaac Palazón Camacho,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pressure,Randy Nteka,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,Andrei Florin Ratiu-Khalid Abdul Mumin Suleman-Khalid Abdul Mumin Suleman-Khalid Abdul Mumin Suleman-Andrei Florin Ratiu-Andrei Florin Ratiu-Andrei Florin Ratiu-Jorge De Frutos Sebastián-Jorge De Frutos Sebastián-Jorge De Frutos Sebastián-Unai López Cabrera-Unai López Cabrera,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Florian Grégoire Claude Lejeune-Florian Grégoire Claude Lejeune-Florian Grégoire Claude Lejeune-Andrei Florin Ratiu-Andrei Florin Ratiu-Andrei Florin Ratiu-Isaac Palazón Camacho,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pass,Isaac Palazón Camacho,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pass-Ball Receipt-Carry-Miscontrol,Josep María Chavarría Pérez-Adrián Embarba Blázquez-Adrián Embarba Blázquez-Adrián Embarba Blázquez,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pressure,Adrián Embarba Blázquez,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
Pressure,Adrián Embarba Blázquez,3946557,Rayo Vallecano,Drawn,3,3,First half,1.30878797267373,0.7516488822274375
