words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pressure,Diego Javier Llorente Ríos,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Duel-Ball Recovery,Diego Javier Llorente Ríos-Sergi Altimira Clavell,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pass-Pressure-Ball Receipt,Marc Roca Junqué-Abdessamad Ezzalzouli-Abdessamad Ezzalzouli,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pass,Ricardo Iván Rodríguez Araya,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Ball Receipt,Abdessamad Ezzalzouli,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pressure,Héctor Bellerín Moruno,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pressure,Iker Losada Aragunde,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Block,Diego Javier Llorente Ríos,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pressure,Ricardo Iván Rodríguez Araya,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Duel-Ball Recovery-Carry,Ricardo Iván Rodríguez Araya-Iker Losada Aragunde-Iker Losada Aragunde,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pass-Ball Receipt-Carry,Iker Losada Aragunde-Abdessamad Ezzalzouli-Abdessamad Ezzalzouli,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Abdessamad Ezzalzouli-Ricardo Iván Rodríguez Araya-Ricardo Iván Rodríguez Araya-Ricardo Iván Rodríguez Araya-Abdessamad Ezzalzouli-Abdessamad Ezzalzouli-Abdessamad Ezzalzouli-Ricardo Iván Rodríguez Araya-Ricardo Iván Rodríguez Araya-Ricardo Iván Rodríguez Araya-Marc Roca Junqué-Marc Roca Junqué-Natan Bernardo de Souza-Natan Bernardo de Souza-Marc Roca Junqué-Marc Roca Junqué,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pass-Ball Receipt-Carry,Marc Roca Junqué-Ricardo Iván Rodríguez Araya-Ricardo Iván Rodríguez Araya,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pass-Ball Receipt,Ricardo Iván Rodríguez Araya-Cédric Bakambu,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Miscontrol,Cédric Bakambu,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pressure,Abdessamad Ezzalzouli,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pressure,Cédric Bakambu,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pressure,Sergi Altimira Clavell,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pressure,Abdessamad Ezzalzouli,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Block,Abdessamad Ezzalzouli,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Interception,Marc Roca Junqué,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pressure,Iker Losada Aragunde,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Diego Javier Llorente Ríos-Diego Javier Llorente Ríos-Diego Javier Llorente Ríos-Ricardo Iván Rodríguez Araya-Ricardo Iván Rodríguez Araya,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Ricardo Iván Rodríguez Araya-Natan Bernardo de Souza-Natan Bernardo de Souza-Natan Bernardo de Souza-Diego Javier Llorente Ríos-Diego Javier Llorente Ríos-Diego Javier Llorente Ríos,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Sergi Altimira Clavell-Sergi Altimira Clavell-Sergi Altimira Clavell-Diego Javier Llorente Ríos-Diego Javier Llorente Ríos-Diego Javier Llorente Ríos-Marc Roca Junqué-Marc Roca Junqué-Marc Roca Junqué-Natan Bernardo de Souza-Natan Bernardo de Souza-Natan Bernardo de Souza-Rui Tiago Dantas da Silva-Rui Tiago Dantas da Silva-Diego Javier Llorente Ríos-Diego Javier Llorente Ríos,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Diego Javier Llorente Ríos-Héctor Bellerín Moruno-Héctor Bellerín Moruno-Héctor Bellerín Moruno-Sergi Altimira Clavell-Sergi Altimira Clavell,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Pass-Ball Receipt-Carry-Pass,Sergi Altimira Clavell-Rui Tiago Dantas da Silva-Rui Tiago Dantas da Silva-Rui Tiago Dantas da Silva,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
Ball Receipt-Carry-Dribble-Carry,Ricardo Iván Rodríguez Araya-Ricardo Iván Rodríguez Araya-Ricardo Iván Rodríguez Araya-Ricardo Iván Rodríguez Araya,3946474,Real Betis,Won,1,0,First half,1.347238919562215,0.7728248472289453
