words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half,K,beta
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Kylian Mbappé Lottin-Luka Modrić-Luka Modrić-Luka Modrić-Daniel Ceballos Fernández-Daniel Ceballos Fernández-Daniel Ceballos Fernández-Luka Modrić-Luka Modrić-Luka Modrić-Arda Güler-Arda Güler-Arda Güler-Luka Modrić-Luka Modrić-Luka Modrić-Federico Santiago Valverde Dipetta-Federico Santiago Valverde Dipetta-Federico Santiago Valverde Dipetta-Luka Modrić-Luka Modrić,3946767,Real Madrid,Won,2,0,Second half,1.3968659082037505,0.7749925327034959
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Luka Modrić-Lucas Vázquez Iglesias-Lucas Vázquez Iglesias-Lucas Vázquez Iglesias-Federico Santiago Valverde Dipetta-Federico Santiago Valverde Dipetta-Federico Santiago Valverde Dipetta-Aurélien Djani Tchouaméni-Aurélien Djani Tchouaméni-Aurélien Djani Tchouaméni-Raúl Asencio del Rosario-Raúl Asencio del Rosario-Raúl Asencio del Rosario-Federico Santiago Valverde Dipetta-Federico Santiago Valverde Dipetta-Federico Santiago Valverde Dipetta-Luka Modrić-Luka Modrić-Luka Modrić-Lucas Vázquez Iglesias-Lucas Vázquez Iglesias,3946767,Real Madrid,Won,2,0,Second half,1.3968659082037505,0.7749925327034959
Pass-Ball Receipt-Carry-Pass,Lucas Vázquez Iglesias-Federico Santiago Valverde Dipetta-Federico Santiago Valverde Dipetta-Federico Santiago Valverde Dipetta,3946767,Real Madrid,Won,2,0,Second half,1.3968659082037505,0.7749925327034959
Pressure,Francisco José García Torres,3946767,Real Madrid,Won,2,0,Second half,1.3968659082037505,0.7749925327034959
Duel-Ball Recovery-Carry,Francisco José García Torres-Daniel Ceballos Fernández-Daniel Ceballos Fernández,3946767,Real Madrid,Won,2,0,Second half,1.3968659082037505,0.7749925327034959
Pass-Ball Receipt-Carry,Daniel Ceballos Fernández-Kylian Mbappé Lottin-Kylian Mbappé Lottin,3946767,Real Madrid,Won,2,0,Second half,1.3968659082037505,0.7749925327034959
Pass-Ball Receipt-Carry,Kylian Mbappé Lottin-Luka Modrić-Luka Modrić,3946767,Real Madrid,Won,2,0,Second half,1.3968659082037505,0.7749925327034959
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Luka Modrić-Lucas Vázquez Iglesias-Lucas Vázquez Iglesias-Lucas Vázquez Iglesias-Kylian Mbappé Lottin,3946767,Real Madrid,Won,2,0,Second half,1.3968659082037505,0.7749925327034959
Pressure,Lucas Vázquez Iglesias,3946767,Real Madrid,Won,2,0,Second half,1.3968659082037505,0.7749925327034959
Pressure,Francisco José García Torres,3946767,Real Madrid,Won,2,0,Second half,1.3968659082037505,0.7749925327034959
